,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
111,111,111,112," asked Ad le of her companion, whose countenance she had been watching with a little amused attention, arrested by the absorbed expression which seemed to have seized and fixed every feature into a statuesque repose.",Of whom of what are you thinking?,Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Ad le of her companion,0.0615023609210969,0.5670500983310566
112,112,112,113," returned Mrs. Pontellier, with a start, adding at once:  /newquote  she went on, throwing back her head and narrowing her fine eyes till they shone like two vivid points of light. ","Nothing, /newquote How stupid! But it seems to me it is the reply we make instinctively to such a question. Let me see, /newquote Let me see. I was really not conscious of thinking of anything; but perhaps I can retrace my thoughts.",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Anaphoric,she went on,0.790853284979722,0.9835671686490156
113,113,113,114, laughed Madame Ratignolle. ,"Oh! never mind! /newquote I am not quite so exacting. I will let you off this time. It is really too hot to think, especially to think about thinking.",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,laughed Madame Ratignolle,0.9910031847310792,0.8523554511345858
114,114,114,115, persisted Edna. ,"But for the fun of it, /newquote First of all, the sight of the water stretching so far away, those motionless sails against the blue sky, made a delicious picture that I just wanted to sit and look at. The hot wind beating in my face made me think without any connection that I can trace of a summer day in Kentucky, of a meadow that seemed as big as the ocean to the very little girl walking through the grass, which was higher than her waist. She threw out her arms as if swimming when she walked, beating the tall grass as one strikes out in the water. Oh, I see the connection now!",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Explicit,persisted Edna,0.988800319952539,0.6727960949555769
115,115,115,116,NO APPEND,"Where were you going that day in Kentucky, walking through the grass?",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.424781422730152,0.1775729174666079
116,116,116,117,NO APPEND,"I don't remember now. I was just walking diagonally across a big field. My sun-bonnet obstructed the view. I could see only the stretch of green before me, and I felt as if I must walk on forever, without coming to the end of it. I don't remember whether I was frightened or pleased. I must have been entertained.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4587801655036105,0.1863444714303458
117,117,117,118, she laughed; ,"Likely as not it was Sunday, /newquote and I was running away from prayers, from the Presbyterian service, read in a spirit of gloom by my father that chills me yet to think of.",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Anaphoric,she laughed,0.7860595507870926,0.6021304258211498
118,118,118,119," asked Madame Ratignolle, amused.","And have you been running away from prayers ever since, _ma ch re?_",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Madame Ratignolle,0.9905256276270744,0.8514873828056924
119,119,119,120," Edna hastened to say.  /newquote  she broke off, turning her quick eyes upon Madame Ratignolle and leaning forward a little so as to bring her face quite close to that of her companion, ","No! oh, no! /newquote I was a little unthinking child in those days, just following a misleading impulse without question. On the contrary, during one period of my life religion took a firm hold upon me; after I was twelve and until until why, I suppose until now, though I never thought much about it just driven along by habit. But do you know, /newquote sometimes I feel this summer as if I were walking through the green meadow again; idly, aimlessly, unthinking and unguided.",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Explicit,Edna hastened to say,0.9885532287362596,0.6692411345963116
120,120,120,121,"Madame Ratignolle laid her hand over that of Mrs. Pontellier, which was near her. Seeing that the hand was not withdrawn, she clasped it firmly and warmly. She even stroked it a little, fondly, with the other hand, murmuring in an undertone, ",_Pauvre ch rie_.,Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,She even stroked it a little fondly with the other hand murmuring,0.7715704742787118,0.0714690260773365
136,136,136,137," spoke the pretty woman at his side, almost as soon as she and Robert had started their slow, homeward way. She looked up in his face, leaning on his arm beneath the encircling shadow of the umbrella which he had lifted.","Do me a favor, Robert,",Leonce Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,spoke the pretty woman,0.1891104605317861,0.8025011312227112
137,137,137,138," he returned, glancing down into her eyes that were full of thoughtfulness and some speculation.","Granted; as many as you like,",Robert Lebrun,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,he returned,0.2974129386761397,0.6934751312051705
138,138,138,139,NO APPEND,I only ask for one; let Mrs. Pontellier alone.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3514011055659666,0.2993057422618747
139,139,139,140," he exclaimed, with a sudden, boyish laugh. ",_Tiens!_ /newquote _Voil  que Madame Ratignolle est jalouse!_,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he exclaimed,0.3185697983345551,0.2999475287740314
140,140,140,141,NO APPEND,Nonsense! I'm in earnest; I mean what I say. Let Mrs. Pontellier alone.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3707874272354776,0.2985046165177671
141,141,141,142, he asked; himself growing serious at his companion's solicitation.,Why?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked,0.328295494525628,0.566486891883647
142,142,142,143,NO APPEND,She is not one of us; she is not like us. She might make the unfortunate blunder of taking you seriously.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4370545636088115,0.8257701230695103
143,143,143,144,"His face flushed with annoyance, and taking off his soft hat he began to beat it impatiently against his leg as he walked.  /newquote  he demanded sharply. ","Why shouldn't she take me seriously? /newquote Am I a comedian, a clown, a jack-in-the-box? Why shouldn't she? You Creoles! I have no patience with you! Am I always to be regarded as a feature of an amusing programme? I hope Mrs. Pontellier does take me seriously. I hope she has discernment enough to find in me something besides the _blagueur_. If I thought there was any doubt ",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he demanded,0.2921726536113376,0.8516806502926741
144,144,144,145, she broke into his heated outburst. ,"Oh, enough, Robert! /newquote You are not thinking of what you are saying. You speak with about as little reflection as we might expect from one of those children down there playing in the sand. If your attentions to any married women here were ever offered with any intention of being convincing, you would not be the gentleman we all know you to be, and you would be unfit to associate with the wives and daughters of the people who trust you.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she broke,0.8080237665388196,0.8771997968900969
146,146,146,147, slamming his hat down vehemently upon his head. ,"Oh! well! That isn't it, /newquote You ought to feel that such things are not flattering to say to a fellow.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4364156238968335,0.1724672220622456
147,147,147,148,NO APPEND,Should our whole intercourse consist of an exchange of compliments? _Ma foi!_,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4334578894823194,0.4429249047329758
148,148,148,149," he went on, unheedingly, but breaking off suddenly:  /newquote  And he related the story of Alc e Arobin and the consul's wife; and another about the tenor of the French Opera, who received letters which should never have been written; and still other stories, grave and gay, till Mrs. Pontellier and her possible propensity for taking young men seriously was apparently forgotten.",It isn't pleasant to have a woman tell you  /newquote Now if I were like Arobin you remember Alc e Arobin and that story of the consul's wife at Biloxi?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he went on,0.2990091022925719,0.6532891865763624
150,150,150,151," he said, with a light smile;  /newquote  he added, solicitously. ","You made one mistake, Ad le, /newquote there is no earthly possibility of Mrs. Pontellier ever taking me seriously. You should have warned me against taking myself seriously. Your advice might then have carried some weight and given me subject for some reflection. _Au revoir_. But you look tired, /newquote Would you like a cup of bouillon? Shall I stir you a toddy? Let me mix you a toddy with a drop of Angostura.",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he added,0.2657159248211644,0.2999475287740314
152,152,152,153,"She thrust a bare, white arm from the curtain which shielded her open door, and received the cup from his hands. She told him he was a _bon gar on_, and she meant it. Robert thanked her and turned away toward ",the house.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Explicit,laughed Edna,0.9854726685533004,0.1793009459746934
156,156,156,157,NO APPEND,Where is Mrs. Pontellier?,Alcee Arobin,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.4179682328886785,0.567425473154923
157,157,157,158,NO APPEND,Down at the beach with the children.,Edna Pontellier,Alcee Arobin,NO MONOLOGUE,0,0,Implicit,,0.4282040561540781,0.4948376949710378
158,158,158,159," Clatter, clatter, clatter, bang! for the next five or eight minutes.",I promised to lend her the Goncourt. Don't forget to take it down when you go; it's there on the bookshelf over the small table.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4369374589833909,0.1881383324339048
159,159,159,160,NO APPEND,Where is Victor going with the rockaway?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4271864656299855,0.1724672220622456
160,160,160,161,NO APPEND,The rockaway? Victor?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4201856408664049,0.1810420888236357
161,161,161,162,NO APPEND,Yes; down there in front. He seems to be getting ready to drive away somewhere.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.429627309275262,0.1881383324339048
162,162,162,163," Clatter, clatter!",Call him.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4222107633254838,0.1793009459746934
164,164,164,165,NO APPEND,He won't look up.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4242479899140365,0.1881383324339048
167,167,167,168,NO APPEND,Whenever you say the word I'm ready to thrash any amount of reason into him that he's able to hold.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3859156506687204,0.4487495103944007
168,168,168,169," Clatter, clatter, clatter, clatter, bang! It was a fixed belief with Madame Lebrun that the conduct of the universe and all things pertaining thereto would have been manifestly of a more intelligent and higher order had not Monsieur Lebrun been removed to other spheres during the early years of their married life.",If your father had only lived!,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3929939265467406,0.6361286372529289
169,169,169,170," Montel was a middle-aged gentleman whose vain ambition and desire for the past twenty years had been to fill the void which Monsieur Lebrun's taking off had left in the Lebrun household. Clatter, clatter, bang, clatter!",What do you hear from Montel?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3790261311676327,0.2453529930584018
170,170,170,171," looking in the machine drawer and finding the letter in the bottom of the workbasket.  /newquote  clatter, clatter!  /newquote  bang! clatter, clatter, bang!","I have a letter somewhere, /newquote He says to tell you he will be in Vera Cruz the beginning of next month, /newquote and if you still have the intention of joining him",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3717354169494905,0.2453529930584018
171,171,171,172," Clatter, clatter, clatter!","Why didn't you tell me so before, mother? You know I wanted ",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3774183852407588,0.2453529930584018
172,172,172,173," Clatter, clatter! ",Do you see Mrs. Pontellier starting back with the children? She will be in late to luncheon again. She never starts to get ready for luncheon till the last minute. /newquote Where are you going?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3754748924641258,0.2582068686324421
173,173,173,174,NO APPEND,Where did you say the Goncourt was?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3887752661164187,0.258368271389733
179,179,179,180,"At an early hour in the evening the Farival twins were prevailed upon to play the piano. They were girls of fourteen, always clad in the Virgin's colors, blue and white, having been dedicated to the Blessed Virgin at their baptism. They played a duet from  /newquote  and at the earnest solicitation of every one present followed it with the overture to ","Zampa, /newquote The Poet and the Peasant.",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Explicit,persisted Edna,0.9854932595761536,0.5762949283675118
188,188,188,189," asked Robert, coming out on the porch where she was. Of course Edna would like to hear Mademoiselle Reisz play; but she feared it would be useless to entreat her.",Would you like to hear Mademoiselle Reisz play?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Robert,0.9947706752624066,0.2564357812515747
189,189,189,190," he said.  /newquote  He turned and hurried away to one of the far cottages, where Mademoiselle Reisz was shuffling away. She was dragging a chair in and out of her room, and at intervals objecting to the crying of a baby, which a nurse in the adjoining cottage was endeavoring to put to sleep. She was a disagreeable little woman, no longer young, who had quarreled with almost every one, owing to a temper which was self-assertive and a disposition to trample upon the rights of others. Robert prevailed upon her without any too great difficulty.","I'll ask her, /newquote I'll tell her that you want to hear her. She likes you. She will come.",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he said,0.3751602120689782,0.2570788911662743
191,191,191,192," she requested of Robert. She sat perfectly still before the piano, not touching the keys, while Robert carried her message to Edna at the window. A general air of surprise and genuine satisfaction fell upon every one as they saw the pianist enter. There was a settling down, and a prevailing air of expectancy everywhere. Edna was a trifle embarrassed at being thus signaled out for the imperious little woman's favor. She would not dare to choose, and begged that Mademoiselle Reisz would please herself in her selections.","Ask Mrs. Pontellier what she would like to hear me play,",Madame Ratignolle,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she requested of Robert,0.3349827133066377,0.5198664641879039
197,197,197,198, she asked. The young woman was unable to answer; she pressed the hand of the pianist convulsively. Mademoiselle Reisz perceived her agitation and even her tears. She patted her again upon the shoulder as she said:,"Well, how did you like my music?",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she asked,0.7634395458719639,0.18151249218724
198,198,198,199, and she went shuffling and sidling on down the gallery toward her room.,You are the only one worth playing for. Those others? Bah!,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said,0.7606036076864139,0.1832822051481783
199,199,199,200,But she was mistaken about  /newquote  Her playing had aroused a fever of enthusiasm.  /newquote   /newquote   /newquote  ,those others. /newquote What passion! /newquote What an artist! /newquote I have always said no one could play Chopin like Mademoiselle Reisz! /newquote That last prelude! Bon Dieu! It shakes a man!,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4206956310250778,0.1745666244767116
214,214,214,215,"She made no mention of her encounter with death and her flash of terror, except to say to her husband, ",I thought I should have perished out there alone.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,She made no mention of her encounter with death and her flash of terror except to say to her husband,0.7638612530104006,0.1780130190438674
215,215,215,216, he told her.,"You were not so very far, my dear; I was watching you,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,he told her,0.7655389096617399,0.18151249218724
220,220,220,221," she asked him, without a shade of annoyance.",Did you think I was afraid?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she asked him,0.7557182584539442,0.1597074986170469
221,221,221,222,NO APPEND,No; I knew you weren't afraid.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3894036126830354,0.1645433061187128
222,222,222,223,NO APPEND,Then why did you come? Why didn't you stay out there with the others?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3970325623500905,0.1678320499645623
223,223,223,224,NO APPEND,I never thought of it.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3902740558992931,0.1694960024474811
224,224,224,225,NO APPEND,Thought of what?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3907490012823343,0.1728632544386998
225,225,225,226,NO APPEND,Of anything. What difference does it make?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3963131920404975,0.1762832020348584
226,226,226,227," she uttered, complainingly.","I'm very tired,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she uttered,0.7613880548053323,0.18151249218724
227,227,227,228,NO APPEND,I know you are.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3927321720140768,0.1797561060500855
228,228,228,229,NO APPEND,"You don't know anything about it. Why should you know? I never was so exhausted in my life. But it isn't unpleasant. A thousand emotions have swept through me to-night. I don't comprehend half of them. Don't mind what I'm saying; I am just thinking aloud. I wonder if I shall ever be stirred again as Mademoiselle Reisz's playing moved me to-night. I wonder if any night on earth will ever again be like this one. It is like a night in a dream. The people about me are like some uncanny, half-human beings. There must be spirits abroad to-night.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4808198548648671,0.4519120716387653
229,229,229,230," whispered Robert, ","There are, /newquote Didn't you know this was the twenty-eighth of August?",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,whispered Robert,0.9947396091880368,0.5753275720231259
230,230,230,231,NO APPEND,The twenty-eighth of August?,Robert Lebrun,Mademoiselle Reisz,NO MONOLOGUE,0,0,Implicit,,0.3691169160812606,0.6811832820735385
231,231,231,232,NO APPEND,"Yes. On the twenty-eighth of August, at the hour of midnight, and if the moon is shining the moon must be shining a spirit that has haunted these shores for ages rises up from the Gulf. With its own penetrating vision the spirit seeks some one mortal worthy to hold him company, worthy of being exalted for a few hours into realms of the semi-celestials. His search has always hitherto been fruitless, and he has sunk back, disheartened, into the sea. But to-night he found Mrs. Pontellier. Perhaps he will never wholly release her from the spell. Perhaps she will never again suffer a poor, unworthy earthling to walk in the shadow of her divine presence.",Mademoiselle Reisz,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.489469048103162,0.5338153712180478
232,232,232,233," she said, wounded at what appeared to be his flippancy. He did not mind the entreaty, but the tone with its delicate note of pathos was like a reproach. He could not explain; he could not tell her that he had penetrated her mood and understood. He said nothing except to offer her his arm, for, by her own admission, she was exhausted. She had been walking alone with her arms hanging limp, letting her white skirts trail along the dewy path. She took his arm, but she did not lean upon it. She let her hand lie listlessly, as though her thoughts were elsewhere somewhere in advance of her body, and she was striving to overtake them.","Don't banter me,",Edna Pontellier,Mademoiselle Reisz,NO MONOLOGUE,0,0,Anaphoric,she said,0.7582286642579633,0.507022463221422
234,234,234,235, he asked.,Will you stay out here and wait for Mr. Pontellier?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked,0.3625126914639283,0.5088388014981156
235,235,235,236,NO APPEND,I'll stay out here. Good-night.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3924159521086885,0.5338153712180478
236,236,236,237,NO APPEND,Shall I get you a pillow?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3928918244610421,0.1797561060500855
237,237,237,238," she said, feeling about, for they were in the shadow.","There's one here,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said,0.7594472663504739,0.1797561060500855
238,238,238,239,NO APPEND,It must be soiled; the children have been tumbling it about.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3991857494050384,0.18151249218724
239,239,239,240," And having discovered the pillow, she adjusted it beneath her head. She extended herself in the hammock with a deep breath of relief. She was not a supercilious or an over-dainty woman. She was not much given to reclining in the hammock, and when she did so it was with no cat-like suggestion of voluptuous ease, but with a beneficent repose which seemed to invade her whole body.",No matter.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3926523543855859,0.4025890532835518
240,240,240,241," asked Robert, seating himself on the outer edge of one of the steps and taking hold of the hammock rope which was fastened to the post.",Shall I stay with you till Mr. Pontellier comes?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Robert,0.9932587560556876,0.8125621380965684
241,241,241,242,NO APPEND,If you wish. Don't swing the hammock. Will you get my white shawl which I left on the window-sill over at the house?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3402459603278936,0.796665759945788
242,242,242,243,NO APPEND,Are you chilly?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3898238807467364,0.5753275720231259
243,243,243,244,NO APPEND,No; but I shall be presently.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3543337754160247,0.2453529930584018
244,244,244,245, he laughed. ,Presently? /newquote Do you know what time it is? How long are you going to stay out here?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he laughed,0.3459495849871206,0.2453529930584018
245,245,245,246,NO APPEND,I don't know. Will you get the shawl?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3539302481679018,0.2453529930584018
246,246,246,247," he said, rising. He went over to the house, walking along the grass. She watched his figure pass in and out of the strips of moonlight. It was past midnight. It was very quiet.","Of course I will,",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he said,0.3496012411029103,0.2453529930584018
248,248,248,249,NO APPEND,Did you say I should stay till Mr. Pontellier came back?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3676801283883462,0.2453529930584018
249,249,249,250,NO APPEND,I said you might if you wished to.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3837847189121207,0.2453529930584018
253,253,253,254," said her husband, when he discovered her lying there. He had walked up with Madame Lebrun and left her at the house. His wife did not reply.","What are you doing out here, Edna? I thought I should find you in bed,",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,said her husband,0.3566493290707552,0.5440400230484171
254,254,254,255," he asked, bending down close to look at her.",Are you asleep?,Robert Lebrun,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked,0.3594372232080645,0.0606408371340854
255,255,255,256," Her eyes gleamed bright and intense, with no sleepy shadows, as they looked into his.",No.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3894013567812516,0.5308610135270454
256,256,256,257, and he mounted the steps and went into their room.,"Do you know it is past one o'clock? Come on,",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3980670496892917,0.6174261106326666
257,257,257,258," called Mr. Pontellier from within, after a few moments had gone by.",Edna!,Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,called Mr Pontellier,0.9937714857583004,0.8125621380965684
258,258,258,259, she answered. He thrust his head through the door.,"Don't wait for me,",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she answered,0.7612067431003131,0.4752510578074867
259,259,259,260," he said, irritably. ","You will take cold out there, /newquote What folly is this? Why don't you come in?",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he said,0.3708043686739002,0.8125621380965684
260,260,260,261,NO APPEND,It isn't cold; I have my shawl.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3945612410479232,0.5456070568197816
261,261,261,262,NO APPEND,The mosquitoes will devour you.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3952772456165814,0.1832822051481783
262,262,262,263,NO APPEND,There are no mosquitoes.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.3941630685833418,0.1832822051481783
264,264,264,265," he asked again, this time fondly, with a note of entreaty.","Edna, dear, are you not coming in soon?",Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked,0.1835901817713345,0.7783942850735673
265,265,265,266,NO APPEND,No; I am going to stay out here.,Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,,0.3954365028908365,0.9545125997489876
266,266,266,267, he blurted out. ,"This is more than folly, /newquote I can't permit you to stay out there all night. You must come in the house instantly.",Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he blurted out,0.2188889883736757,0.5955673685114025
268,268,268,269," she said, ","L once, go to bed, /newquote I mean to stay out here. I don't wish to go in, and I don't intend to. Don't speak to me like that again; I shall not answer you.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said,0.7524672023576778,0.0631838071264666
273,273,273,274," she asked, turning her face toward her husband.","Are you coming in, L once?",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she asked,0.7378284117594872,0.3591316067876972
