,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
40,40,41, said Matthew blankly. ,"I'm not expecting a girl, /newquote It's a boy I've come for. He should be here. Mrs. Alexander Spencer was to bring him over from Nova Scotia for me.",Matthew Cuthbert,The Station-Master,NO MONOLOGUE,0,2,Explicit,said Matthew
42,42,43, he said. ,"Guess there's some mistake, /newquote Mrs. Spencer came off the train with that girl and gave her into my charge. Said you and your sister were adopting her from an orphan asylum and that you would be along for her presently. That's all I know about it--and I haven't got any more orphans concealed hereabouts.",The Station-Master,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,he said
43,43,44," said Matthew helplessly, wishing that Marilla was at hand to cope with the situation.","I don't understand,",Matthew Cuthbert,The Station-Master,NO MONOLOGUE,0,2,Explicit,said Matthew
44,44,45, said the station-master carelessly. ,"Well, you'd better question the girl, /newquote I dare say she'll be able to explain--she's got a tongue of her own, that's certain. Maybe they were out of boys of the brand you wanted.",The Station-Master,Matthew Cuthbert,NO MONOLOGUE,0,2,Explicit,said the stationmaster
49,49,50," she said in a peculiarly clear, sweet voice. ","I suppose you are Mr. Matthew Cuthbert of Green Gables? /newquote I'm very glad to see you. I was beginning to be afraid you weren't coming for me and I was imagining all the things that might have happened to prevent you. I had made up my mind that if you didn't come for me to-night I'd go down the track to that big wild cherry-tree at the bend, and climb up into it to stay all night. I wouldn't be a bit afraid, and it would be lovely to sleep in a wild cherry-tree all white with bloom in the moonshine, don't you think? You could imagine you were dwelling in marble halls, couldn't you? And I was quite sure you would come for me in the morning, if you didn't to-night.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she said
51,51,52, he said shyly. ,"I'm sorry I was late, /newquote Come along. The horse is over in the yard. Give me your bag.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Anaphoric,he said
52,52,53, the child responded cheerfully. ,"Oh, I can carry it, /newquote It isn't heavy. I've got all my worldly goods in it, but it isn't heavy. And if it isn't carried in just a certain way the handle pulls out--so I'd better keep it because I know the exact knack of it. It's an extremely old carpet-bag. Oh, I'm very glad you've come, even if it would have been nice to sleep in a wild cherry-tree. We've got to drive a long piece, haven't we? Mrs. Spencer said it was eight miles. I'm glad because I love driving. Oh, it seems so wonderful that I'm going to live with you and belong to you. I've never belonged to anybody--not really. But the asylum was the worst. I've only been in it four months, but that was enough. I don't suppose you ever were an orphan in an asylum, so you can't possibly understand what it is like. It's worse than anything you could imagine. Mrs. Spencer said it was wicked of me to talk like that, but I didn't mean to be wicked. It's so easy to be wicked without knowing it, isn't it? They were good, you know--the asylum people. But there is so little scope for the imagination in an asylum--only just in the other orphans. It was pretty interesting to imagine things about them--to imagine that perhaps the girl who sat next to you was really the daughter of a belted earl, who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess. I used to lie awake at nights and imagine things like that, because I didn't have time in the day. I guess that's why I'm so thin--I _am_ dreadful thin, ain't I? There isn't a pick on my bones. I do love to imagine I'm nice and plump, with dimples in my elbows.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,the child responded
55,55,56, she asked.,"Isn't that beautiful? What did that tree, leaning out from the bank, all white and lacy, make you think of?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she asked
56,56,57, said Matthew.,"Well now, I dunno,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
57,57,58,NO APPEND,"Why, a bride, of course--a bride all in white with a lovely misty veil. I've never seen one, but I can imagine what she would look like. I don't ever expect to be a bride myself. I'm so homely nobody will ever want to marry me--unless it might be a foreign missionary. I suppose a foreign missionary mightn't be very particular. But I do hope that some day I shall have a white dress. That is my highest ideal of earthly bliss. I just love pretty clothes. And I've never had a pretty dress in my life that I can remember--but of course it's all the more to look forward to, isn't it? And then I can imagine that I'm dressed gorgeously. This morning when I left the asylum I felt so ashamed because I had to wear this horrid old wincey dress. All the orphans had to wear them, you know. A merchant in Hopeton last winter donated three hundred yards of wincey to the asylum. Some people said it was because he couldn't sell it, but I'd rather believe that it was out of the kindness of his heart, wouldn't you? When we got on the train I felt as if everybody must be looking at me and pitying me. But I just went to work and imagined that I had on the most beautiful pale blue silk dress--because when you _are_ imagining you might as well imagine something worth while--and a big hat all flowers and nodding plumes, and a gold watch, and kid gloves and boots. I felt cheered up right away and I enjoyed my trip to the Island with all my might. I wasn't a bit sick coming over in the boat. Neither was Mrs. Spencer although she generally is. She said she hadn't time to get sick, watching to see that I didn't fall overboard. She said she never saw the beat of me for prowling about. But if it kept her from being seasick it's a mercy I did prowl, isn't it? And I wanted to see everything that was to be seen on that boat, because I didn't know whether I'd ever have another opportunity. Oh, there are a lot more cherry-trees all in bloom! This Island is the bloomiest place. I just love it already, and I'm so glad I'm going to live here. I've always heard that Prince Edward Island was the prettiest place in the world, and I used to imagine I was living here, but I never really expected I would. It's delightful when your imaginations come true, isn't it? But those red roads are so funny. When we got into the train at Charlottetown and the red roads began to flash past I asked Mrs. Spencer what made them red and she said she didn't know and for pity's sake not to ask her any more questions. She said I must have asked her a thousand already. I suppose I had, too, but how you going to find out about things if you don't ask questions? And what _does_ make the roads red?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
58,58,59, said Matthew.,"Well now, I dunno,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
59,59,60,NO APPEND,"Well, that is one of the things to find out sometime. Isn't it splendid to think of all the things there are to find out about? It just makes me feel glad to be alive--it's such an interesting world. It wouldn't be half so interesting if we know all about everything, would it? There'd be no scope for imagination then, would there? But am I talking too much? People are always telling me I do. Would you rather I didn't talk? If you say so I'll stop. I can _stop_ when I make up my mind to it, although it's difficult.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
61,61,62,NO APPEND,"Oh, you can talk as much as you like. I don't mind.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Anaphoric,he said
62,62,63,NO APPEND,"Oh, I'm so glad. I know you and I are going to get along together fine. It's such a relief to talk when one wants to and not be told that children should be seen and not heard. I've had that said to me a million times if I have once. And people laugh at me because I use big words. But if you have big ideas you have to use big words to express them, haven't you?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
63,63,64, said Matthew.,"Well now, that seems reasonable,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
64,64,65,NO APPEND,"Mrs. Spencer said that my tongue must be hung in the middle. But it isn't--it's firmly fastened at one end. Mrs. Spencer said your place was named Green Gables. I asked her all about it. And she said there were trees all around it. I was gladder than ever. I just love trees. And there weren't any at all about the asylum, only a few poor weeny-teeny things out in front with little whitewashed cagey things about them. They just looked like orphans themselves, those trees did. It used to make me want to cry to look at them. I used to say to them, ?Oh, you _poor_ little things! If you were out in a great big woods with other trees all around you and little mosses and June bells growing over your roots and a brook not far away and birds singing in you branches, you could grow, couldn't you? But you can't where you are. I know just exactly how you feel, little trees.' I felt sorry to leave them behind this morning. You do get so attached to things like that, don't you? Is there a brook anywhere near Green Gables? I forgot to ask Mrs. Spencer that.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
65,65,66,NO APPEND,"Well now, yes, there's one right below the house.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
66,66,67,NO APPEND,"Fancy. It's always been one of my dreams to live near a brook. I never expected I would, though. Dreams don't often come true, do they? Wouldn't it be nice if they did? But just now I feel pretty nearly perfectly happy. I can't feel exactly perfectly happy because--well, what color would you call this?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
68,68,69, he said.,"It's red, ain't it?",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Anaphoric,he said
70,70,71, she said resignedly. ,"Yes, it's red, /newquote Now you see why I can't be perfectly happy. Nobody could who has red hair. I don't mind the other things so much--the freckles and the green eyes and my skinniness. I can imagine them away. I can imagine that I have a beautiful rose-leaf complexion and lovely starry violet eyes. But I _cannot_ imagine that red hair away. I do my best. I think to myself, ?Now my hair is a glorious black, black as the raven's wing.' But all the time I _know_ it is just plain red and it breaks my heart. It will be my lifelong sorrow. I read of a girl once in a novel who had a lifelong sorrow but it wasn't red hair. Her hair was pure gold rippling back from her alabaster brow. What is an alabaster brow? I never could find out. Can you tell me?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she said
71,71,72," said Matthew, who was getting a little dizzy. He felt as he had once felt in his rash youth when another boy had enticed him on the merry-go-round at a picnic.","Well now, I'm afraid I can't,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
72,72,73,NO APPEND,"Well, whatever it was it must have been something nice because she was divinely beautiful. Have you ever imagined what it must feel like to be divinely beautiful?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
73,73,74, confessed Matthew ingenuously.,"Well now, no, I haven't,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,confessed Matthew
74,74,75,NO APPEND,"I have, often. Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
75,75,76,NO APPEND,"Well now, I--I don't know exactly.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
76,76,77,NO APPEND,"Neither do I. I can never decide. But it doesn't make much real difference for it isn't likely I'll ever be either. It's certain I'll never be angelically good. Mrs. Spencer says--oh, Mr. Cuthbert! Oh, Mr. Cuthbert!! Oh, Mr. Cuthbert!!!",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
77,77,78,That was not what Mrs. Spencer had said; neither had the child tumbled out of the buggy nor had Matthew done anything astonishing. They had simply rounded a curve in the road and found themselves in the ,Avenue.,Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
78,78,79,"The  /newquote  so called by the Newbridge people, was a stretch of road four or five hundred yards long, completely arched over with huge, wide-spreading apple-trees, planted years ago by an eccentric old farmer. Overhead was one long canopy of snowy fragrant bloom. Below the boughs the air was full of a purple twilight and far ahead a glimpse of painted sunset sky shone like a great rose window at the end of a cathedral aisle.","Avenue,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
80,80,81," Matthew ventured to say at last, accounting for her long visitation of dumbness with the only reason he could think of. ","I guess you're feeling pretty tired and hungry, /newquote But we haven't very far to go now--only another mile.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,Matthew ventured to say
82,82,83," she whispered, ","Oh, Mr. Cuthbert, /newquote that place we came through--that white place--what was it?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she whispered
83,83,84, said Matthew after a few moments' profound reflection. ,"Well now, you must mean the Avenue, /newquote It is a kind of pretty place.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
84,84,85,--she put one hand on her breast--,"Pretty? Oh, _pretty_ doesn't seem the right word to use. Nor beautiful, either. They don't go far enough. Oh, it was wonderful--wonderful. It's the first thing I ever saw that couldn't be improved upon by imagination. It just satisfies me here /newquote it made a queer funny ache and yet it was a pleasant ache. Did you ever have an ache like that, Mr. Cuthbert?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
85,85,86,NO APPEND,"Well now, I just can't recollect that I ever had.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
86,86,87,NO APPEND,"I have it lots of time--whenever I see anything royally beautiful. But they shouldn't call that lovely place the Avenue. There is no meaning in a name like that. They should call it--let me see--the White Way of Delight. Isn't that a nice imaginative name? When I don't like the name of a place or a person I always imagine a new one and always think of them so. There was a girl at the asylum whose name was Hepzibah Jenkins, but I always imagined her as Rosalia DeVere. Other people may call that place the Avenue, but I shall always call it the White Way of Delight. Have we really only another mile to go before we get home? I'm glad and I'm sorry. I'm sorry because this drive has been so pleasant and I'm always sorry when pleasant things end. Something still pleasanter may come after, but you can never be sure. And it's so often the case that it isn't pleasanter. That has been my experience anyhow. But I'm glad to think of getting home. You see, I've never had a real home since I can remember. It gives me that pleasant ache again just to think of coming to a really truly home. Oh, isn't that pretty!",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
88,88,89, said Matthew.,"That's Barry's pond,",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,said Matthew
89,89,90,NO APPEND,"Oh, I don't like that name, either. I shall call it--let me see--the Lake of Shining Waters. Yes, that is the right name for it. I know because of the thrill. When I hit on a name that suits exactly it gives me a thrill. Do things ever give you a thrill?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
91,91,92,NO APPEND,"Well now, yes. It always kind of gives me a thrill to see them ugly white grubs that spade up in the cucumber beds. I hate the look of them.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
92,92,93,NO APPEND,"Oh, I don't think that can be exactly the same kind of a thrill. Do you think it can? There doesn't seem to be much connection between grubs and lakes of shining waters, does there? But why do other people call it Barry's pond?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
93,93,94,NO APPEND,"I reckon because Mr. Barry lives up there in that house. Orchard Slope's the name of his place. If it wasn't for that big bush behind it you could see Green Gables from here. But we have to go over the bridge and round by the road, so it's near half a mile further.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
94,94,95,NO APPEND,"Has Mr. Barry any little girls? Well, not so very little either--about my size.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
95,95,96,NO APPEND,He's got one about eleven. Her name is Diana.,Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
96,96,97, with a long indrawing of breath. ,Oh! /newquote What a perfectly lovely name!,Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
97,97,98,NO APPEND,"Well now, I dunno. There's something dreadful heathenish about it, seems to me. I'd ruther Jane or Mary or some sensible name like that. But when Diana was born there was a schoolmaster boarding there and they gave him the naming of her and he called her Diana.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
98,98,99,NO APPEND,"I wish there had been a schoolmaster like that around when I was born, then. Oh, here we are at the bridge. I'm going to shut my eyes tight. I'm always afraid going over bridges. I can't help imagining that perhaps just as we get to the middle, they'll crumple up like a jack-knife and nip us. So I shut my eyes. But I always have to open them for all when I think we're getting near the middle. Because, you see, if the bridge _did_ crumple up I'd want to _see_ it crumple. What a jolly rumble it makes! I always like the rumble part of it. Isn't it splendid there are so many things to like in this world? There we're over. Now I'll look back. Good night, dear Lake of Shining Waters. I always say good night to the things I love, just as I would to people. I think they like it. That water looks as if it was smiling at me.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
100,100,101,NO APPEND,We're pretty near home now. That's Green Gables over--,Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Explicit,Matthew said
101,101,102," she interrupted breathlessly, catching at his partially raised arm and shutting her eyes that she might not see his gesture. ","Oh, don't tell me, /newquote Let me guess. I'm sure I'll guess right.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she interrupted
103,103,104," she said, pointing.","That's it, isn't it?",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she said
105,105,106,NO APPEND,"Well now, you've guessed it! But I reckon Mrs. Spencer described it so's you could tell.",Matthew Cuthbert,Anne Shirley,NO MONOLOGUE,0,2,Implicit,
106,106,107,NO APPEND,"No, she didn't--really she didn't. All she said might just as well have been about most of those other places. I hadn't any real idea what it looked like. But just as soon as I saw it I felt it was home. Oh, it seems as if I must be in a dream. Do you know, my arm must be black and blue from the elbow up, for I've pinched myself so many times today. Every little while a horrible sickening feeling would come over me and I'd be so afraid it was all a dream. Then I'd pinch myself to see if it was real--until suddenly I remembered that even supposing it was only a dream I'd better go on dreaming as long as I could; so I stopped pinching. But it _is_ real and we're nearly home.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Implicit,
109,109,110," she whispered, as he lifted her to the ground. ","Listen to the trees talking in their sleep, /newquote What nice dreams they must have!",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,she whispered
110,110,111,"Then, holding tightly to the carpet-bag which contained  /newquote  she followed him into the house.","all her worldly goods,",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,the child responded
139,139,140, continued Marilla when Matthew had gone out.,Did Mrs. Spencer bring anybody over besides you?,Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,3,Explicit,continued Marilla
140,140,141,NO APPEND,She brought Lily Jones for herself. Lily is only five years old and she is very beautiful and had nut-brown hair. If I was very beautiful and had nut-brown hair would you keep me?,Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,3,Implicit,
141,141,142,NO APPEND,No. We want a boy to help Matthew on the farm. A girl would be of no use to us. Take off your hat. I'll lay it and your bag on the hall table.,Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,3,Implicit,
147,147,148,NO APPEND,"No, I didn't.",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
152,152,153, she questioned.,I suppose you have a nightgown?,Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,3,Anaphoric,she questioned
154,154,155,NO APPEND,"Yes, I have two. The matron of the asylum made them for me. They're fearfully skimpy. There is never enough to go around in an asylum, so things are always skimpy--at least in a poor asylum like ours. I hate skimpy night-dresses. But one can dream just as well in them as in lovely trailing ones, with frills around the neck, that's one consolation.",Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,3,Implicit,
155,155,156,NO APPEND,"Well, undress as quick as you can and go to bed. I'll come back in a few minutes for the candle. I daren't trust you to put it out yourself. You'd likely set the place on fire.",Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,3,Implicit,
158,158,159," she said, a little awkwardly, but not unkindly.","Good night,",Anne Shirley,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
160,160,161, she said reproachfully.,How can you call it a _good_ night when you know it must be the very worst night I've ever had?,Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,3,Anaphoric,she said
163,163,164, she said wrathfully. ,"Well, this is a pretty kettle of fish, /newquote This is what comes of sending word instead of going ourselves. Richard Spencer's folks have twisted that message somehow. One of us will have to drive over and see Mrs. Spencer tomorrow, that's certain. This girl will have to be sent back to the asylum.",Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Anaphoric,she said
164,164,165, said Matthew reluctantly.,"Yes, I suppose so,",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,said Matthew
165,165,166,NO APPEND,You _suppose_ so! Don't you know it?,Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
166,166,167,NO APPEND,"Well now, she's a real nice little thing, Marilla. It's kind of a pity to send her back when she's so set on staying here.",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Implicit,
167,167,168,NO APPEND,"Matthew Cuthbert, you don't mean to say you think we ought to keep her!",Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
169,169,170," stammered Matthew, uncomfortably driven into a corner for his precise meaning. ","Well, now, no, I suppose not--not exactly, /newquote I suppose--we could hardly be expected to keep her.",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,stammered Matthew
170,170,171,NO APPEND,I should say not. What good would she be to us?,Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
171,171,172, said Matthew suddenly and unexpectedly.,"We might be some good to her,",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,said Matthew
172,172,173,NO APPEND,"Matthew Cuthbert, I believe that child has bewitched you! I can see as plain as plain that you want to keep her.",Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
173,173,174, persisted Matthew. ,"Well now, she's a real interesting little thing, /newquote You should have heard her talk coming from the station.",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,persisted Matthew
174,174,175,NO APPEND,"Oh, she can talk fast enough. I saw that at once. It's nothing in her favour, either. I don't like children who have so much to say. I don't want an orphan girl and if I did she isn't the style I'd pick out. There's something I don't understand about her. No, she's got to be despatched straight-way back to where she came from.",Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Implicit,
175,175,176," said Matthew, ","I could hire a French boy to help me, /newquote and she'd be company for you.",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,said Matthew
176,176,177, said Marilla shortly. ,"I'm not suffering for company, /newquote And I'm not going to keep her.",Marilla Cuthbert,Matthew Cuthbert,NO MONOLOGUE,0,3,Explicit,said Marilla
177,177,178, said Matthew rising and putting his pipe away. ,"Well now, it's just as you say, of course, Marilla, /newquote I'm going to bed.",Matthew Cuthbert,Marilla Cuthbert,NO MONOLOGUE,0,3,Explicit,said Matthew
188,188,189, she said curtly.,"It's time you were dressed,",Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,4,Anaphoric,she said
191,191,192," she said, waving her hand comprehensively at the good world outside.","Oh, isn't it wonderful?",Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,4,Anaphoric,she said
192,192,193," said Marilla, ","It's a big tree, /newquote and it blooms great, but the fruit don't amount to much never--small and wormy.",Marilla Cuthbert,Anne Shirley,NO MONOLOGUE,0,4,Explicit,said Marilla
