,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
17,18," he said drily, glancing from her to the door and then at her again.","Thank you,",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,he said
18,19," she said, and carried his clothes out of the room. She glanced at his white-swathed head and blue goggles again as she was going out of the door; but his napkin was still in front of his face. She shivered a little as she closed the door behind her, and her face was eloquent of her surprise and perplexity.  /newquote  she whispered.  /newquote  She went quite softly to the kitchen, and was too preoccupied to ask Millie what she was messing about with _now_, when she got there.","I ll have them nicely dried, sir, at once, /newquote I _never_, /newquote There!",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Anaphoric,she said
19,20,"The visitor sat and listened to her retreating feet. He glanced inquiringly at the window before he removed his serviette, and resumed his meal. He took a mouthful, glanced suspiciously at the window, took another mouthful, then rose and, taking the serviette in his hand, walked across the room and pulled the blind down to the top of the white muslin that obscured the lower panes. This left the room in a twilight. This done, he returned with an easier air to the table and his meal.",NO QUOTE,,,,0,1,1.0,1.0
20,21, said Mrs. Hall. ,"The poor soul s had an accident or an op ration or somethin , /newquote What a turn them bandages did give me, to be sure!",Mrs. Hall,[],NO MONOLOGUE,0,1,Explicit,said Mrs Hall
21,22,"She put on some more coal, unfolded the clothes-horse, and extended the traveller s coat upon this.  /newquote  She hung his muffler on a corner of the horse. ","And they goggles! Why, he looked more like a divin  helmet than a human man! /newquote And holding that handkerchief over his mouth all the time. Talkin  through it! ... Perhaps his mouth was hurt too maybe.",Mrs. Hall,[],NO MONOLOGUE,0,1,Implicit,
22,23,"She turned round, as one who suddenly remembers.  /newquote  she said, going off at a tangent; ","Bless my soul alive! /newquote ain t you done them taters _yet_, Millie?",Mrs. Hall,[],NO MONOLOGUE,0,1,Anaphoric,she said
23,24,"When Mrs. Hall went to clear away the stranger s lunch, her idea that his mouth must also have been cut or disfigured in the accident she supposed him to have suffered, was confirmed, for he was smoking a pipe, and all the time that she was in the room he never loosened the silk muffler he had wrapped round the lower part of his face to put the mouthpiece to his lips. Yet it was not forgetfulness, for she saw he glanced at it as it smouldered out. He sat in the corner with his back to the window-blind and spoke now, having eaten and drunk and being comfortably warmed through, with less aggressive brevity than before. The reflection of the fire lent a kind of red animation to his big spectacles they had lacked hitherto.",NO QUOTE,,,,0,1,1.0,1.0
24,25," he said,  /newquote  and he asked her how he could have it sent. He bowed his bandaged head quite politely in acknowledgment of her explanation.  /newquote  he said.  /newquote  and seemed quite disappointed when she answered,  /newquote  Was she quite sure? No man with a trap who would go over?","I have some luggage, /newquote at Bramblehurst station, /newquote To-morrow? /newquote There is no speedier delivery? /newquote No.",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,he said
25,26,"Mrs. Hall, nothing loath, answered his questions and developed a conversation.  /newquote  she said in answer to the question about a trap; and then, snatching at an opening, said, ","It s a steep road by the down, sir, /newquote It was there a carriage was upsettled, a year ago and more. A gentleman killed, besides his coachman. Accidents, sir, happen in a moment, don t they?",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Anaphoric,she said in answer to the question about a trap and then snatching at an opening said
26,27,"But the visitor was not to be drawn so easily.  /newquote  he said through his muffler, eyeing her quietly through his impenetrable glasses.","They do,",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,he said
27,28,NO APPEND,"But they take long enough to get well, don t they? ... There was my sister s son, Tom, jest cut his arm with a scythe, tumbled on it in the  ayfield, and, bless me! he was three months tied up sir. You d hardly believe it. It s regular given me a dread of a scythe, sir.",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Implicit,
28,29, said the visitor.,"I can quite understand that,",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,said the visitor
29,30,NO APPEND,"He was afraid, one time, that he d have to have an op ration he was that bad, sir.",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Implicit,
30,31,"The visitor laughed abruptly, a bark of a laugh that he seemed to bite and kill in his mouth.  /newquote  he said.",_Was_ he?,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,he said
31,32,NO APPEND,"He was, sir. And no laughing matter to them as had the doing for him, as I had my sister being took up with her little ones so much. There was bandages to do, sir, and bandages to undo. So that if I may make so bold as to say it, sir ",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Implicit,
32,33," said the visitor, quite abruptly. ",Will you get me some matches? /newquote My pipe is out.,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,1,Anaphoric,said the visitor
33,34,"Mrs. Hall was pulled up suddenly. It was certainly rude of him, after telling him all she had done. She gasped at him for a moment, and remembered the two sovereigns. She went for the matches.",NO QUOTE,,,,0,1,1.0,1.0
34,35," he said concisely, as she put them down, and turned his shoulder upon her and stared out of the window again. It was altogether too discouraging. Evidently he was sensitive on the topic of operations and bandages. She did not  /newquote  however, after all. But his snubbing way had irritated her, and Millie had a hot time of it that afternoon.","Thanks, /newquote make so bold as to say,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,1,Implicit,
35,36,"The visitor remained in the parlour until four o clock, without giving the ghost of an excuse for an intrusion. For the most part he was quite still during that time; it would seem he sat in the growing darkness smoking in the firelight perhaps dozing.",NO QUOTE,,,,0,1,1.0,1.0
36,37,"Once or twice a curious listener might have heard him at the coals, and for the space of five minutes he was audible pacing the room. He seemed to be talking to himself. Then the armchair creaked as he sat down again.",NO QUOTE,,,,0,1,1.0,1.0
37,38,MR. TEDDY HENFREY S FIRST IMPRESSIONS,NO QUOTE,,,,0,2,1.0,1.0
38,39,"At four o clock, when it was fairly dark and Mrs. Hall was screwing up her courage to go in and ask her visitor if he would take some tea, Teddy Henfrey, the clock-jobber, came into the bar.  /newquote  said he,  /newquote  The snow outside was falling faster.","My sakes! Mrs. Hall, /newquote but this is terrible weather for thin boots!",Mr. Teddy Henfrey,['Mrs. Hall'],NO MONOLOGUE,0,2,Anaphoric,said he
39,40,"Mrs. Hall agreed, and then noticed he had his bag with him.  /newquote  said she, ","Now you re here, Mr. Teddy, /newquote I d be glad if you d give th  old clock in the parlour a bit of a look.  Tis going, and it strikes well and hearty; but the hour-hand won t do nuthin  but point at six.",Mrs. Hall,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Anaphoric,said she
40,41,"And leading the way, she went across to the parlour door and rapped and entered.",NO QUOTE,,,,0,2,1.0,1.0
41,42,"Her visitor, she saw as she opened the door, was seated in the armchair before the fire, dozing it would seem, with his bandaged head drooping on one side. The only light in the room was the red glow from the fire which lit his eyes like adverse railway signals, but left his downcast face in darkness and the scanty vestiges of the day that came in through the open door. Everything was ruddy, shadowy, and indistinct to her, the more so since she had just been lighting the bar lamp, and her eyes were dazzled. But for a second it seemed to her that the man she looked at had an enormous mouth wide open a vast and incredible mouth that swallowed the whole of the lower portion of his face. It was the sensation of a moment: the white-bound head, the monstrous goggle eyes, and this huge yawn below it. Then he stirred, started up in his chair, put up his hand. She opened the door wide, so that the room was lighter, and she saw him more clearly, with the muffler held up to his face just as she had seen him hold the serviette before. The shadows, she fancied, had tricked her.",NO QUOTE,,,,0,2,1.0,1.0
42,43," she said, recovering from the momentary shock.","Would you mind, sir, this man a-coming to look at the clock, sir?",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,2,Anaphoric,she said
43,44," he said, staring round in a drowsy manner, and speaking over his hand, and then, getting more fully awake, ",Look at the clock? /newquote certainly.,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,2,Anaphoric,he said
44,45,"Mrs. Hall went away to get a lamp, and he rose and stretched himself. Then came the light, and Mr. Teddy Henfrey, entering, was confronted by this bandaged person. He was, he says, ",taken aback.,Mr. Teddy Henfrey,[],NO MONOLOGUE,0,2,Anaphoric,he says
45,46," said the stranger, regarding him as Mr. Henfrey says, with a vivid sense of the dark spectacles ","Good afternoon, /newquote like a lobster.",Mr. Teddy Henfrey,[],NO MONOLOGUE,0,2,Explicit,Mr Henfrey says
46,47," said Mr. Henfrey, ","I hope, /newquote that it s no intrusion.",Mr. Teddy Henfrey,"['Mrs. Hall', 'The Invisible Man']",NO MONOLOGUE,0,2,Explicit,said Mr Henfrey
47,48," said the stranger.  /newquote  he said turning to Mrs. Hall, ","None whatever, /newquote Though, I understand, /newquote that this room is really to be mine for my own private use.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Anaphoric,he said
48,49," said Mrs. Hall, ","I thought, sir, /newquote you d prefer the clock ",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",NO MONOLOGUE,0,2,Explicit,said Mrs Hall
49,50," said the stranger, ","Certainly, /newquote certainly but, as a rule, I like to be alone and undisturbed.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Explicit,said the stranger
50,51," he said, seeing a certain hesitation in Mr. Henfrey s manner.  /newquote  Mr. Henfrey had intended to apologise and withdraw, but this anticipation reassured him. The stranger turned round with his back to the fireplace and put his hands behind his back.  /newquote  he said, ","But I m really glad to have the clock seen to, /newquote Very glad. /newquote And presently, /newquote when the clock-mending is over, I think I should like to have some tea. But not till the clock-mending is over.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Anaphoric,he said
51,52,"Mrs. Hall was about to leave the room she made no conversational advances this time, because she did not want to be snubbed in front of Mr. Henfrey when her visitor asked her if she had made any arrangements about his boxes at Bramblehurst. She told him she had mentioned the matter to the postman, and that the carrier could bring them over on the morrow.  /newquote  he said.",You are certain that is the earliest?,The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Anaphoric,he said
52,53,"She was certain, with a marked coldness.",NO QUOTE,,,,0,2,1.0,1.0
53,54," he added, ","I should explain, /newquote what I was really too cold and fatigued to do before, that I am an experimental investigator.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Anaphoric,he added
54,55," said Mrs. Hall, much impressed.","Indeed, sir,",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",NO MONOLOGUE,0,2,Explicit,said Mrs Hall
55,56,NO APPEND,And my baggage contains apparatus and appliances.,The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Implicit,
56,57, said Mrs. Hall.,"Very useful things indeed they are, sir,",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",NO MONOLOGUE,0,2,Explicit,said Mrs Hall
57,58,NO APPEND,And I m very naturally anxious to get on with my inquiries.,The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Implicit,
58,59,NO APPEND,"Of course, sir.",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",NO MONOLOGUE,0,2,Implicit,
59,60," he proceeded, with a certain deliberation of manner, ","My reason for coming to Iping, /newquote was ... a desire for solitude. I do not wish to be disturbed in my work. In addition to my work, an accident ",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Anaphoric,he proceeded
60,61, said Mrs. Hall to herself.,"I thought as much,",Mrs. Hall,['Mrs. Hall'],NO MONOLOGUE,0,2,Explicit,said Mrs Hall to herself
61,62,NO APPEND," necessitates a certain retirement. My eyes are sometimes so weak and painful that I have to shut myself up in the dark for hours together. Lock myself up. Sometimes now and then. Not at present, certainly. At such times the slightest disturbance, the entry of a stranger into the room, is a source of excruciating annoyance to me it is well these things should be understood.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Implicit,
62,63, said Mrs. Hall. ,"Certainly, sir, /newquote And if I might make so bold as to ask ",Mrs. Hall,"['Mr. Teddy Henfrey', 'The Invisible Man']",NO MONOLOGUE,0,2,Explicit,said Mrs Hall
63,64," said the stranger, with that quietly irresistible air of finality he could assume at will. Mrs. Hall reserved her question and sympathy for a better occasion.","That I think, is all,",The Invisible Man,"['Mr. Teddy Henfrey', 'Mrs. Hall']",NO MONOLOGUE,0,2,Explicit,said the stranger
64,65,"After Mrs. Hall had left the room, he remained standing in front of the fire, glaring, so Mr. Henfrey puts it, at the clock-mending. Mr. Henfrey not only took off the hands of the clock, and the face, but extracted the works; and he tried to work in as slow and quiet and unassuming a manner as possible. He worked with the lamp close to him, and the green shade threw a brilliant light upon his hands, and upon the frame and wheels, and left the rest of the room shadowy. When he looked up, coloured patches swam in his eyes. Being constitutionally of a curious nature, he had removed the works a quite unnecessary proceeding with the idea of delaying his departure and perhaps falling into conversation with the stranger. But the stranger stood there, perfectly silent and still. So still, it got on Henfrey s nerves. He felt alone in the room and looked up, and there, grey and dim, was the bandaged head and huge blue lenses staring fixedly, with a mist of green spots drifting in front of them. It was so uncanny to Henfrey that for a minute they remained staring blankly at one another. Then Henfrey looked down again. Very uncomfortable position! One would like to say something. Should he remark that the weather was very cold for the time of year?",NO QUOTE,,,,0,2,1.0,1.0
65,66,He looked up as if to take aim with that introductory shot.  /newquote  he began.,The weather ,Mr. Teddy Henfrey,['The Invisible Man'],NO MONOLOGUE,0,2,Anaphoric,he began
66,67," said the rigid figure, evidently in a state of painfully suppressed rage. ",Why don t you finish and go? /newquote All you ve got to do is to fix the hour-hand on its axle. You re simply humbugging ,The Invisible Man,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Anaphoric,said the rigid figure
67,68, and Mr. Henfrey finished and went.,"Certainly, sir one minute more. I overlooked ",Mr. Teddy Henfrey,['The Invisible Man'],NO MONOLOGUE,0,2,Implicit,
68,69,"But he went feeling excessively annoyed.  /newquote  said Mr. Henfrey to himself, trudging down the village through the thawing snow; ","Damn it! /newquote a man must do a clock at times, surely.",Mr. Teddy Henfrey,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Explicit,said Mr Henfrey to himself
69,70,"And again, ",Can t a man look at you? Ugly!,Mr. Teddy Henfrey,[],NO MONOLOGUE,0,2,Implicit,
70,71,"And yet again, ",Seemingly not. If the police was wanting you you couldn t be more wropped and bandaged.,Mr. Teddy Henfrey,[],NO MONOLOGUE,0,2,Implicit,
71,72,"At Gleeson s corner he saw Hall, who had recently married the stranger s hostess at the  /newquote  and who now drove the Iping conveyance, when occasional people required it, to Sidderbridge Junction, coming towards him on his return from that place. Hall had evidently been  /newquote  at Sidderbridge, to judge by his driving.  /newquote  he said, passing.","Coach and Horses, /newquote stopping a bit /newquote  Ow do, Teddy?",Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Teddy
72,73, said Teddy.,You got a rum un up home!,Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Teddy
73,74,Hall very sociably pulled up.  /newquote  he asked.,What s that?,Mr. Hall,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Anaphoric,he asked
74,75, said Teddy. ,"Rum-looking customer stopping at the  Coach and Horses,  /newquote My sakes!",Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Teddy
75,76,And he proceeded to give Hall a vivid description of his grotesque guest.  /newquote  said Henfrey. ,"Looks a bit like a disguise, don t it? I d like to see a man s face if I had him stopping in _my_ place, /newquote But women are that trustful where strangers are concerned. He s took your rooms and he ain t even given a name, Hall.",Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Henfrey
76,77," said Hall, who was a man of sluggish apprehension.",You don t say so!,Mr. Hall,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Explicit,said Hall
77,78, said Teddy. ,"Yes, /newquote By the week. Whatever he is, you can t get rid of him under the week. And he s got a lot of luggage coming to-morrow, so he says. Let s hope it won t be stones in boxes, Hall.",Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Teddy
78,79,He told Hall how his aunt at Hastings had been swindled by a stranger with empty portmanteaux. Altogether he left Hall vaguely suspicious.  /newquote  said Hall. ,"Get up, old girl, /newquote I s pose I must see  bout this.",Mr. Hall,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,2,Explicit,said Hall
79,80,Teddy trudged on his way with his mind considerably relieved.,NO QUOTE,,,,0,2,1.0,1.0
80,81,"Instead of  /newquote  however, Hall on his return was severely rated by his wife on the length of time he had spent in Sidderbridge, and his mild inquiries were answered snappishly and in a manner not to the point. But the seed of suspicion Teddy had sown germinated in the mind of Mr. Hall in spite of these discouragements.  /newquote  said Mr. Hall, resolved to ascertain more about the personality of his guest at the earliest possible opportunity. And after the stranger had gone to bed, which he did about half-past nine, Mr. Hall went very aggressively into the parlour and looked very hard at his wife s furniture, just to show that the stranger wasn t master there, and scrutinised closely and a little contemptuously a sheet of mathematical computations the stranger had left. When retiring for the night he instructed Mrs. Hall to look very closely at the stranger s luggage when it came next day.","seeing  bout it, /newquote You wim  don t know everything,",Mr. Hall,['Mrs. Hall'],NO MONOLOGUE,0,2,Explicit,said Mr Hall
81,82," said Mrs. Hall, ","You mind your own business, Hall, /newquote and I ll mind mine.",Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,2,Explicit,said Mrs Hall
82,83,"She was all the more inclined to snap at Hall because the stranger was undoubtedly an unusually strange sort of stranger, and she was by no means assured about him in her own mind. In the middle of the night she woke up dreaming of huge white heads like turnips, that came trailing after her, at the end of interminable necks, and with vast black eyes. But being a sensible woman, she subdued her terrors and turned over and went to sleep again.",NO QUOTE,,,,0,2,1.0,1.0
83,84,THE THOUSAND AND ONE BOTTLES,NO QUOTE,,,,0,3,1.0,1.0
84,85,"So it was that on the twenty-ninth day of February, at the beginning of the thaw, this singular person fell out of infinity into Iping village. Next day his luggage arrived through the slush and very remarkable luggage it was. There were a couple of trunks indeed, such as a rational man might need, but in addition there were a box of books big, fat books, of which some were just in an incomprehensible handwriting and a dozen or more crates, boxes, and cases, containing objects packed in straw, as it seemed to Hall, tugging with a casual curiosity at the straw glass bottles. The stranger, muffled in hat, coat, gloves, and wrapper, came out impatiently to meet Fearenside s cart, while Hall was having a word or so of gossip preparatory to helping bring them in. Out he came, not noticing Fearenside s dog, who was sniffing in a _dilettante_ spirit at Hall s legs.  /newquote  he said. ","Come along with those boxes, /newquote I ve been waiting long enough.",The Invisible Man,"['Fearenside', 'Mr. Hall']",NO MONOLOGUE,0,3,Anaphoric,he said
85,86,And he came down the steps towards the tail of the cart as if to lay hands on the smaller crate.,NO QUOTE,,,,0,3,1.0,1.0
86,87,"No sooner had Fearenside s dog caught sight of him, however, than it began to bristle and growl savagely, and when he rushed down the steps it gave an undecided hop, and then sprang straight at his hand.  /newquote  cried Hall, jumping back, for he was no hero with dogs, and Fearenside howled,  /newquote  and snatched his whip.",Whup! /newquote Lie down!,Fearenside,"['The Invisible Man', 'Mr. Hall']",NO MONOLOGUE,0,3,Explicit,Fearenside howled
87,88,"They saw the dog s teeth had slipped the hand, heard a kick, saw the dog execute a flanking jump and get home on the stranger s leg, and heard the rip of his trousering. Then the finer end of Fearenside s whip reached his property, and the dog, yelping with dismay, retreated under the wheels of the waggon. It was all the business of a swift half-minute. No one spoke, everyone shouted. The stranger glanced swiftly at his torn glove and at his leg, made as if he would stoop to the latter, then turned and rushed swiftly up the steps into the inn. They heard him go headlong across the passage and up the uncarpeted stairs to his bedroom.",NO QUOTE,,,,0,3,1.0,1.0
88,89," said Fearenside, climbing off the waggon with his whip in his hand, while the dog watched him through the wheel.  /newquote  said Fearenside ","You brute, you! /newquote Come here, /newquote You d better.",Fearenside,['Mr. Hall'],NO MONOLOGUE,0,3,Explicit,said Fearenside
89,90,Hall had stood gaping.  /newquote  said Hall.  /newquote  and he trotted after the stranger. He met Mrs. Hall in the passage.  /newquote  he said ,"He wuz bit, /newquote I d better go and see to en, /newquote Carrier s darg, /newquote bit en.",Mr. Hall,['Fearenside'],NO MONOLOGUE,0,3,Explicit,said Hall
90,91,"He went straight upstairs, and the stranger s door being ajar, he pushed it open and was entering without any ceremony, being of a naturally sympathetic turn of mind.",NO QUOTE,,,,0,3,1.0,1.0
91,92,"The blind was down and the room dim. He caught a glimpse of a most singular thing, what seemed a handless arm waving towards him, and a face of three huge indeterminate spots on white, very like the face of a pale pansy. Then he was struck violently in the chest, hurled back, and the door slammed in his face and locked. It was so rapid that it gave him no time to observe. A waving of indecipherable shapes, a blow, and a concussion. There he stood on the dark little landing, wondering what it might be that he had seen.",NO QUOTE,,,,0,3,1.0,1.0
92,93,"A couple of minutes after, he rejoined the little group that had formed outside the  /newquote  There was Fearenside telling about it all over again for the second time; there was Mrs. Hall saying his dog didn t have no business to bite her guests; there was Huxter, the general dealer from over the road, interrogative; and Sandy Wadgers from the forge, judicial; besides women and children, all of them saying fatuities:  /newquote ;  /newquote ;  /newquote  and so forth.","Coach and Horses. /newquote Wouldn t let en bite _me_, I knows /newquote  Tasn t right _have_ such dargs /newquote Whad  _e_ bite  n for, then?",Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,3,Explicit,said Mrs Hall
93,94,"Mr. Hall, staring at them from the steps and listening, found it incredible that he had seen anything so very remarkable happen upstairs. Besides, his vocabulary was altogether too limited to express his impressions.",NO QUOTE,,,,0,3,1.0,1.0
94,95, he said in answer to his wife s inquiry. ,"He don t want no help, he says, /newquote We d better be a-takin  of his luggage in.",Mr. Hall,"['A Lady In The Group', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,3,Anaphoric,he said
95,96, said Mr. Huxter; ,"He ought to have it cauterised at once, /newquote especially if it s at all inflamed.",Huxter,"['A Lady In The Group', 'Mr. Hall', 'Mrs. Hall', 'Fearenside', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,3,Explicit,said Mr Huxter
96,97, said a lady in the group.,"I d shoot en, that s what I d do,",A Lady In The Group,"['Mr. Hall', 'Mrs. Hall', 'Huxter', 'Fearenside', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,3,Explicit,said a lady in the group
