,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
111,111,111,112," asked Ad le of her companion, whose countenance she had been watching with a little amused attention, arrested by the absorbed expression which seemed to have seized and fixed every feature into a statuesque repose.",Of whom of what are you thinking?,Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Ad le of her companion
112,112,112,113," returned Mrs. Pontellier, with a start, adding at once:  /newquote  she went on, throwing back her head and narrowing her fine eyes till they shone like two vivid points of light. ","Nothing, /newquote How stupid! But it seems to me it is the reply we make instinctively to such a question. Let me see, /newquote Let me see. I was really not conscious of thinking of anything; but perhaps I can retrace my thoughts.",,"['Edna Pontellier', 'Madame Ratignolle']",NO MONOLOGUE,0,0,Anaphoric,she went on
113,113,113,114, laughed Madame Ratignolle. ,"Oh! never mind! /newquote I am not quite so exacting. I will let you off this time. It is really too hot to think, especially to think about thinking.",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,laughed Madame Ratignolle
114,114,114,115, persisted Edna. ,"But for the fun of it, /newquote First of all, the sight of the water stretching so far away, those motionless sails against the blue sky, made a delicious picture that I just wanted to sit and look at. The hot wind beating in my face made me think without any connection that I can trace of a summer day in Kentucky, of a meadow that seemed as big as the ocean to the very little girl walking through the grass, which was higher than her waist. She threw out her arms as if swimming when she walked, beating the tall grass as one strikes out in the water. Oh, I see the connection now!",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Explicit,persisted Edna
115,115,115,116,NO APPEND,"Where were you going that day in Kentucky, walking through the grass?",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
116,116,116,117,NO APPEND,"I don't remember now. I was just walking diagonally across a big field. My sun-bonnet obstructed the view. I could see only the stretch of green before me, and I felt as if I must walk on forever, without coming to the end of it. I don't remember whether I was frightened or pleased. I must have been entertained.",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Implicit,
117,117,117,118, she laughed; ,"Likely as not it was Sunday, /newquote and I was running away from prayers, from the Presbyterian service, read in a spirit of gloom by my father that chills me yet to think of.",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,she laughed
118,118,118,119," asked Madame Ratignolle, amused.","And have you been running away from prayers ever since, _ma ch re?_",Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Madame Ratignolle
119,119,119,120," Edna hastened to say.  /newquote  she broke off, turning her quick eyes upon Madame Ratignolle and leaning forward a little so as to bring her face quite close to that of her companion, ","No! oh, no! /newquote I was a little unthinking child in those days, just following a misleading impulse without question. On the contrary, during one period of my life religion took a firm hold upon me; after I was twelve and until until why, I suppose until now, though I never thought much about it just driven along by habit. But do you know, /newquote sometimes I feel this summer as if I were walking through the green meadow again; idly, aimlessly, unthinking and unguided.",Edna Pontellier,Madame Ratignolle,NO MONOLOGUE,0,0,Explicit,Edna hastened to say
120,120,120,121,"Madame Ratignolle laid her hand over that of Mrs. Pontellier, which was near her. Seeing that the hand was not withdrawn, she clasped it firmly and warmly. She even stroked it a little, fondly, with the other hand, murmuring in an undertone, ",_Pauvre ch rie_.,Madame Ratignolle,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,She even stroked it a little fondly with the other hand murmuring
136,136,136,137," spoke the pretty woman at his side, almost as soon as she and Robert had started their slow, homeward way. She looked up in his face, leaning on his arm beneath the encircling shadow of the umbrella which he had lifted.","Do me a favor, Robert,",,[],NO MONOLOGUE,0,0,Anaphoric,spoke the pretty woman
137,137,137,138," he returned, glancing down into her eyes that were full of thoughtfulness and some speculation.","Granted; as many as you like,",,[],NO MONOLOGUE,0,0,Anaphoric,he returned
138,138,138,139,NO APPEND,I only ask for one; let Mrs. Pontellier alone.,,[],NO MONOLOGUE,0,0,Implicit,
139,139,139,140," he exclaimed, with a sudden, boyish laugh. ",_Tiens!_ /newquote _Voil  que Madame Ratignolle est jalouse!_,,[],NO MONOLOGUE,0,0,Anaphoric,he exclaimed
140,140,140,141,NO APPEND,Nonsense! I'm in earnest; I mean what I say. Let Mrs. Pontellier alone.,,[],NO MONOLOGUE,0,0,Implicit,
141,141,141,142, he asked; himself growing serious at his companion's solicitation.,Why?,,[],NO MONOLOGUE,0,0,Anaphoric,he asked
142,142,142,143,NO APPEND,She is not one of us; she is not like us. She might make the unfortunate blunder of taking you seriously.,,[],NO MONOLOGUE,0,0,Implicit,
143,143,143,144,"His face flushed with annoyance, and taking off his soft hat he began to beat it impatiently against his leg as he walked.  /newquote  he demanded sharply. ","Why shouldn't she take me seriously? /newquote Am I a comedian, a clown, a jack-in-the-box? Why shouldn't she? You Creoles! I have no patience with you! Am I always to be regarded as a feature of an amusing programme? I hope Mrs. Pontellier does take me seriously. I hope she has discernment enough to find in me something besides the _blagueur_. If I thought there was any doubt ",,[],NO MONOLOGUE,0,0,Anaphoric,he demanded
144,144,144,145, she broke into his heated outburst. ,"Oh, enough, Robert! /newquote You are not thinking of what you are saying. You speak with about as little reflection as we might expect from one of those children down there playing in the sand. If your attentions to any married women here were ever offered with any intention of being convincing, you would not be the gentleman we all know you to be, and you would be unfit to associate with the wives and daughters of the people who trust you.",,[],NO MONOLOGUE,0,0,Anaphoric,she broke
146,146,146,147, slamming his hat down vehemently upon his head. ,"Oh! well! That isn't it, /newquote You ought to feel that such things are not flattering to say to a fellow.",,Madame Ratignolle,NO MONOLOGUE,0,0,Implicit,
147,147,147,148,NO APPEND,Should our whole intercourse consist of an exchange of compliments? _Ma foi!_,Madame Ratignolle,[],NO MONOLOGUE,0,0,Implicit,
148,148,148,149," he went on, unheedingly, but breaking off suddenly:  /newquote  And he related the story of Alc e Arobin and the consul's wife; and another about the tenor of the French Opera, who received letters which should never have been written; and still other stories, grave and gay, till Mrs. Pontellier and her possible propensity for taking young men seriously was apparently forgotten.",It isn't pleasant to have a woman tell you  /newquote Now if I were like Arobin you remember Alc e Arobin and that story of the consul's wife at Biloxi?,,Madame Ratignolle,NO MONOLOGUE,0,0,Anaphoric,he went on
150,150,150,151," he said, with a light smile;  /newquote  he added, solicitously. ","You made one mistake, Ad le, /newquote there is no earthly possibility of Mrs. Pontellier ever taking me seriously. You should have warned me against taking myself seriously. Your advice might then have carried some weight and given me subject for some reflection. _Au revoir_. But you look tired, /newquote Would you like a cup of bouillon? Shall I stir you a toddy? Let me mix you a toddy with a drop of Angostura.",Robert Lebrun,Madame Ratignolle,NO MONOLOGUE,0,0,Anaphoric,he added
152,152,152,153,"She thrust a bare, white arm from the curtain which shielded her open door, and received the cup from his hands. She told him he was a _bon gar on_, and she meant it. Robert thanked her and turned away toward ",the house.,Edna Pontellier,Mademoiselle Reisz,NO MONOLOGUE,0,0,Explicit,laughed Edna
156,156,156,157,NO APPEND,Where is Mrs. Pontellier?,,[],NO MONOLOGUE,0,0,Implicit,
157,157,157,158,NO APPEND,Down at the beach with the children.,,[],NO MONOLOGUE,0,0,Implicit,
158,158,158,159," Clatter, clatter, clatter, bang! for the next five or eight minutes.",I promised to lend her the Goncourt. Don't forget to take it down when you go; it's there on the bookshelf over the small table.,,[],NO MONOLOGUE,0,0,Implicit,
159,159,159,160,NO APPEND,Where is Victor going with the rockaway?,,[],NO MONOLOGUE,0,0,Implicit,
160,160,160,161,NO APPEND,The rockaway? Victor?,,[],NO MONOLOGUE,0,0,Implicit,
161,161,161,162,NO APPEND,Yes; down there in front. He seems to be getting ready to drive away somewhere.,,[],NO MONOLOGUE,0,0,Implicit,
162,162,162,163," Clatter, clatter!",Call him.,,[],NO MONOLOGUE,0,0,Implicit,
164,164,164,165,NO APPEND,He won't look up.,,Madame Lebrun,NO MONOLOGUE,0,0,Implicit,
167,167,167,168,NO APPEND,Whenever you say the word I'm ready to thrash any amount of reason into him that he's able to hold.,Victor Lebrun,Madame Lebrun,NO MONOLOGUE,0,0,Implicit,
168,168,168,169," Clatter, clatter, clatter, clatter, bang! It was a fixed belief with Madame Lebrun that the conduct of the universe and all things pertaining thereto would have been manifestly of a more intelligent and higher order had not Monsieur Lebrun been removed to other spheres during the early years of their married life.",If your father had only lived!,Madame Lebrun,Victor Lebrun,NO MONOLOGUE,0,0,Implicit,
169,169,169,170," Montel was a middle-aged gentleman whose vain ambition and desire for the past twenty years had been to fill the void which Monsieur Lebrun's taking off had left in the Lebrun household. Clatter, clatter, bang, clatter!",What do you hear from Montel?,Victor Lebrun,Madame Lebrun,NO MONOLOGUE,0,0,Implicit,
170,170,170,171," looking in the machine drawer and finding the letter in the bottom of the workbasket.  /newquote  clatter, clatter!  /newquote  bang! clatter, clatter, bang!","I have a letter somewhere, /newquote He says to tell you he will be in Vera Cruz the beginning of next month, /newquote and if you still have the intention of joining him",Madame Lebrun,Victor Lebrun,NO MONOLOGUE,0,0,Implicit,
171,171,171,172," Clatter, clatter, clatter!","Why didn't you tell me so before, mother? You know I wanted ",Victor Lebrun,Madame Lebrun,NO MONOLOGUE,0,0,Implicit,
172,172,172,173," Clatter, clatter! ",Do you see Mrs. Pontellier starting back with the children? She will be in late to luncheon again. She never starts to get ready for luncheon till the last minute. /newquote Where are you going?,Madame Lebrun,Victor Lebrun,NO MONOLOGUE,0,0,Implicit,
173,173,173,174,NO APPEND,Where did you say the Goncourt was?,Victor Lebrun,Madame Lebrun,NO MONOLOGUE,0,0,Implicit,
179,179,179,180,"At an early hour in the evening the Farival twins were prevailed upon to play the piano. They were girls of fourteen, always clad in the Virgin's colors, blue and white, having been dedicated to the Blessed Virgin at their baptism. They played a duet from  /newquote  and at the earnest solicitation of every one present followed it with the overture to ","Zampa, /newquote The Poet and the Peasant.",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Explicit,persisted Edna
188,188,188,189," asked Robert, coming out on the porch where she was. Of course Edna would like to hear Mademoiselle Reisz play; but she feared it would be useless to entreat her.",Would you like to hear Mademoiselle Reisz play?,Robert Lebrun,[],NO MONOLOGUE,0,0,Explicit,asked Robert
189,189,189,190," he said.  /newquote  He turned and hurried away to one of the far cottages, where Mademoiselle Reisz was shuffling away. She was dragging a chair in and out of her room, and at intervals objecting to the crying of a baby, which a nurse in the adjoining cottage was endeavoring to put to sleep. She was a disagreeable little woman, no longer young, who had quarreled with almost every one, owing to a temper which was self-assertive and a disposition to trample upon the rights of others. Robert prevailed upon her without any too great difficulty.","I'll ask her, /newquote I'll tell her that you want to hear her. She likes you. She will come.",Robert Lebrun,[],NO MONOLOGUE,0,0,Anaphoric,he said
191,191,191,192," she requested of Robert. She sat perfectly still before the piano, not touching the keys, while Robert carried her message to Edna at the window. A general air of surprise and genuine satisfaction fell upon every one as they saw the pianist enter. There was a settling down, and a prevailing air of expectancy everywhere. Edna was a trifle embarrassed at being thus signaled out for the imperious little woman's favor. She would not dare to choose, and begged that Mademoiselle Reisz would please herself in her selections.","Ask Mrs. Pontellier what she would like to hear me play,",Mademoiselle Reisz,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she requested of Robert
197,197,197,198, she asked. The young woman was unable to answer; she pressed the hand of the pianist convulsively. Mademoiselle Reisz perceived her agitation and even her tears. She patted her again upon the shoulder as she said:,"Well, how did you like my music?",Mademoiselle Reisz,[],NO MONOLOGUE,0,0,Anaphoric,she asked
198,198,198,199, and she went shuffling and sidling on down the gallery toward her room.,You are the only one worth playing for. Those others? Bah!,Mademoiselle Reisz,[],NO MONOLOGUE,0,0,Anaphoric,she said
199,199,199,200,But she was mistaken about  /newquote  Her playing had aroused a fever of enthusiasm.  /newquote   /newquote   /newquote  ,those others. /newquote What passion! /newquote What an artist! /newquote I have always said no one could play Chopin like Mademoiselle Reisz! /newquote That last prelude! Bon Dieu! It shakes a man!,Mademoiselle Reisz,[],NO MONOLOGUE,0,0,Implicit,
214,214,214,215,"She made no mention of her encounter with death and her flash of terror, except to say to her husband, ",I thought I should have perished out there alone.,Edna Pontellier,[],NO MONOLOGUE,0,0,Anaphoric,She made no mention of her encounter with death and her flash of terror except to say to her husband
215,215,215,216, he told her.,"You were not so very far, my dear; I was watching you,",,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he told her
220,220,220,221," she asked him, without a shade of annoyance.",Did you think I was afraid?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she asked him
221,221,221,222,NO APPEND,No; I knew you weren't afraid.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
222,222,222,223,NO APPEND,Then why did you come? Why didn't you stay out there with the others?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
223,223,223,224,NO APPEND,I never thought of it.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
224,224,224,225,NO APPEND,Thought of what?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
225,225,225,226,NO APPEND,Of anything. What difference does it make?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
226,226,226,227," she uttered, complainingly.","I'm very tired,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she uttered
227,227,227,228,NO APPEND,I know you are.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
228,228,228,229,NO APPEND,"You don't know anything about it. Why should you know? I never was so exhausted in my life. But it isn't unpleasant. A thousand emotions have swept through me to-night. I don't comprehend half of them. Don't mind what I'm saying; I am just thinking aloud. I wonder if I shall ever be stirred again as Mademoiselle Reisz's playing moved me to-night. I wonder if any night on earth will ever again be like this one. It is like a night in a dream. The people about me are like some uncanny, half-human beings. There must be spirits abroad to-night.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
229,229,229,230," whispered Robert, ","There are, /newquote Didn't you know this was the twenty-eighth of August?",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,whispered Robert
230,230,230,231,NO APPEND,The twenty-eighth of August?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
231,231,231,232,NO APPEND,"Yes. On the twenty-eighth of August, at the hour of midnight, and if the moon is shining the moon must be shining a spirit that has haunted these shores for ages rises up from the Gulf. With its own penetrating vision the spirit seeks some one mortal worthy to hold him company, worthy of being exalted for a few hours into realms of the semi-celestials. His search has always hitherto been fruitless, and he has sunk back, disheartened, into the sea. But to-night he found Mrs. Pontellier. Perhaps he will never wholly release her from the spell. Perhaps she will never again suffer a poor, unworthy earthling to walk in the shadow of her divine presence.",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
232,232,232,233," she said, wounded at what appeared to be his flippancy. He did not mind the entreaty, but the tone with its delicate note of pathos was like a reproach. He could not explain; he could not tell her that he had penetrated her mood and understood. He said nothing except to offer her his arm, for, by her own admission, she was exhausted. She had been walking alone with her arms hanging limp, letting her white skirts trail along the dewy path. She took his arm, but she did not lean upon it. She let her hand lie listlessly, as though her thoughts were elsewhere somewhere in advance of her body, and she was striving to overtake them.","Don't banter me,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said
234,234,234,235, he asked.,Will you stay out here and wait for Mr. Pontellier?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked
235,235,235,236,NO APPEND,I'll stay out here. Good-night.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
236,236,236,237,NO APPEND,Shall I get you a pillow?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
237,237,237,238," she said, feeling about, for they were in the shadow.","There's one here,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said
238,238,238,239,NO APPEND,It must be soiled; the children have been tumbling it about.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
239,239,239,240," And having discovered the pillow, she adjusted it beneath her head. She extended herself in the hammock with a deep breath of relief. She was not a supercilious or an over-dainty woman. She was not much given to reclining in the hammock, and when she did so it was with no cat-like suggestion of voluptuous ease, but with a beneficent repose which seemed to invade her whole body.",No matter.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
240,240,240,241," asked Robert, seating himself on the outer edge of one of the steps and taking hold of the hammock rope which was fastened to the post.",Shall I stay with you till Mr. Pontellier comes?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Robert
241,241,241,242,NO APPEND,If you wish. Don't swing the hammock. Will you get my white shawl which I left on the window-sill over at the house?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
242,242,242,243,NO APPEND,Are you chilly?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
243,243,243,244,NO APPEND,No; but I shall be presently.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
244,244,244,245, he laughed. ,Presently? /newquote Do you know what time it is? How long are you going to stay out here?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he laughed
245,245,245,246,NO APPEND,I don't know. Will you get the shawl?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
246,246,246,247," he said, rising. He went over to the house, walking along the grass. She watched his figure pass in and out of the strips of moonlight. It was past midnight. It was very quiet.","Of course I will,",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he said
248,248,248,249,NO APPEND,Did you say I should stay till Mr. Pontellier came back?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
249,249,249,250,NO APPEND,I said you might if you wished to.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
253,253,253,254," said her husband, when he discovered her lying there. He had walked up with Madame Lebrun and left her at the house. His wife did not reply.","What are you doing out here, Edna? I thought I should find you in bed,",,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,said her husband
254,254,254,255," he asked, bending down close to look at her.",Are you asleep?,,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked
255,255,255,256," Her eyes gleamed bright and intense, with no sleepy shadows, as they looked into his.",No.,,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,
256,256,256,257, and he mounted the steps and went into their room.,"Do you know it is past one o'clock? Come on,",,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,
257,257,257,258," called Mr. Pontellier from within, after a few moments had gone by.",Edna!,Leonce Pontellier,[],NO MONOLOGUE,0,0,Explicit,called Mr Pontellier
258,258,258,259, she answered. He thrust his head through the door.,"Don't wait for me,",,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she answered
259,259,259,260," he said, irritably. ","You will take cold out there, /newquote What folly is this? Why don't you come in?",Leonce Pontellier,[],NO MONOLOGUE,0,0,Anaphoric,he said
260,260,260,261,NO APPEND,It isn't cold; I have my shawl.,,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,
261,261,261,262,NO APPEND,The mosquitoes will devour you.,Leonce Pontellier,[],NO MONOLOGUE,0,0,Implicit,
262,262,262,263,NO APPEND,There are no mosquitoes.,,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,
264,264,264,265," he asked again, this time fondly, with a note of entreaty.","Edna, dear, are you not coming in soon?",Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he asked
265,265,265,266,NO APPEND,No; I am going to stay out here.,Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Implicit,
266,266,266,267, he blurted out. ,"This is more than folly, /newquote I can't permit you to stay out there all night. You must come in the house instantly.",Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he blurted out
268,268,268,269," she said, ","L once, go to bed, /newquote I mean to stay out here. I don't wish to go in, and I don't intend to. Don't speak to me like that again; I shall not answer you.",Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she said
273,273,273,274," she asked, turning her face toward her husband.","Are you coming in, L once?",,[],NO MONOLOGUE,0,0,Anaphoric,she asked
274,274,274,275," he answered, with a glance following a misty puff of smoke. ","Yes, dear, /newquote Just as soon as I have finished my cigar.",,[],NO MONOLOGUE,0,0,Anaphoric,he answered
283,283,283,284, she laughed. ,Wasn't it enough to think of going to the _Ch ni re_ and waking you up? /newquote Do I have to think of everything? as L once says when he's in a bad humor. I don't blame him; he'd never be in a bad humor if it weren't for me.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she laughed
286,286,286,287,"Beaudelet grumbled because Mariequita was there, taking up so much room. In reality he was annoyed at having old Monsieur Farival, who considered himself the better sailor of the two. But he would not quarrel with so old a man as Monsieur Farival, so he quarreled with Mariequita. The girl was deprecatory at one moment, appealing to Robert. She was saucy the next, moving her head up and down, making  /newquote  at Robert and making  /newquote  at Beaudelet.",eyes /newquote mouths,Edna Pontellier,Doctor Mandelet,NO MONOLOGUE,0,0,Implicit,
289,289,289,290, inquired the girl of Robert.,Why does she look at me like that?,Mariequita,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,inquired the girl of Robert
290,290,290,291,NO APPEND,Maybe she thinks you are pretty. Shall I ask her?,,"['Mariequita', 'Robert Lebrun']",NO MONOLOGUE,0,0,Implicit,
291,291,291,292,NO APPEND,No. Is she your sweetheart?,Mariequita,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
292,292,292,293,NO APPEND,"She's a married lady, and has two children.",,"['Mariequita', 'Robert Lebrun']",NO MONOLOGUE,0,0,Implicit,
293,293,293,294,NO APPEND,"Oh! well! Francisco ran away with Sylvano's wife, who had four children. They took all his money and one of the children and stole his boat.",Mariequita,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
294,294,294,295,NO APPEND,Shut up!,,"['Mariequita', 'Robert Lebrun']",NO MONOLOGUE,0,0,Implicit,
295,295,295,296,NO APPEND,Does she understand?,Mariequita,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
296,296,296,297,NO APPEND,"Oh, hush!",,"['Mariequita', 'Robert Lebrun']",NO MONOLOGUE,0,0,Implicit,
297,297,297,298,NO APPEND,Are those two married over there leaning on each other?,Mariequita,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
298,298,298,299, laughed Robert.,"Of course not,",Robert Lebrun,Mariequita,NO MONOLOGUE,0,0,Explicit,laughed Robert
299,299,299,300," echoed Mariequita, with a serious, confirmatory bob of the head.","Of course not,",Robert Lebrun,Mariequita,NO MONOLOGUE,0,0,Explicit,laughed Robert
302,302,302,303, said Robert in a low voice.,Let us go to Grande Terre to-morrow?,Robert Lebrun,[],NO MONOLOGUE,0,0,Explicit,said Robert
303,303,303,304,NO APPEND,What shall we do there?,,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
304,304,304,305,NO APPEND,"Climb up the hill to the old fort and look at the little wriggling gold snakes, and watch the lizards sun themselves.",Robert Lebrun,[],NO MONOLOGUE,0,0,Implicit,
306,306,306,307, he went on.,"And the next day or the next we can sail to the Bayou Brulow,",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he went on
307,307,307,308,NO APPEND,What shall we do there?,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
308,308,308,309,NO APPEND,Anything cast bait for fish.,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
309,309,309,310,NO APPEND,No; we'll go back to Grande Terre. Let the fish alone.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
310,310,310,311, he said. ,"We'll go wherever you like, /newquote I'll have Tonie come over and help me patch and trim my boat. We shall not need Beaudelet nor any one. Are you afraid of the pirogue?",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he said
311,311,311,312,NO APPEND,"Oh, no.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,
312,312,312,313,NO APPEND,"Then I'll take you some night in the pirogue when the moon shines. Maybe your Gulf spirit will whisper to you in which of these islands the treasures are hidden direct you to the very spot, perhaps.",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Implicit,
313,313,313,314, she laughed. ,"And in a day we should be rich! /newquote I'd give it all to you, the pirate gold and every bit of treasure we could dig up. I think you would know how to spend it. Pirate gold isn't a thing to be hoarded or utilized. It is something to squander and throw to the four winds, for the fun of seeing the golden specks fly.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she laughed
