,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
10,10,11,"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner,  /newquote  She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.","Oh my ears and whiskers, how late it's getting!",The White Rabbit,,NO MONOLOGUE,0,1,Anaphoric,it say
11,11,12,"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",NO QUOTE,,,,0,1,1.0,1.0
12,12,13,"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them. However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",NO QUOTE,,,,0,1,1.0,1.0
13,13,14,"Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw. How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway;  /newquote  thought poor Alice,  /newquote  For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.","and even if my head would go through, /newquote it would be of very little use without my shoulders. Oh, how I wish I could shut up like a telescope! I think I could, if I only knew how to begin.",Alice,,NO MONOLOGUE,0,1,Explicit,thought poor Alice
14,14,15,"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ( /newquote  said Alice,) and round the neck of the bottle was a paper label, with the words  /newquote  beautifully printed on it in large letters.","which certainly was not here before, /newquote DRINK ME,",Alice,,NO MONOLOGUE,0,1,Explicit,said Alice
15,15,16,"It was all very well to say  /newquote  but the wise little Alice was not going to do _that_ in a hurry.  /newquote  she said,  /newquote ; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they _would_ not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger _very_ deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked  /newquote  it is almost certain to disagree with you, sooner or later.","Drink me, /newquote No, I'll look first, /newquote and see whether it's marked '_poison_' or not /newquote poison,",Alice,,NO MONOLOGUE,0,1,Anaphoric,she said
16,16,17,"However, this bottle was _not_ marked  /newquote  so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.","poison,",Alice,,NO MONOLOGUE,0,1,Explicit,thought Alice
17,17,18,*      *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
18,18,19,    *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
19,19,20,*      *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
20,20,21, said Alice; ,What a curious feeling! /newquote I must be shutting up like a telescope.,Alice,,NO MONOLOGUE,0,1,Explicit,said Alice
21,21,22,"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this;  /newquote  said Alice to herself,  /newquote  And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.","for it might end, you know, /newquote in my going out altogether, like a candle. I wonder what I should be like then?",Alice,Alice,NO MONOLOGUE,0,1,Explicit,said Alice to herself
22,22,23,"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice! when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",NO QUOTE,,,,0,1,1.0,1.0
23,23,24," said Alice to herself, rather sharply;  /newquote  She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.  /newquote  thought poor Alice, ","Come, there's no use in crying like that! /newquote I advise you to leave off this minute! /newquote But it's no use now, /newquote to pretend to be two people! Why, there's hardly enough of me left to make _one_ respectable person!",Alice,,NO MONOLOGUE,0,1,Explicit,thought poor Alice
24,24,25,"Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words  /newquote  were beautifully marked in currants.  /newquote  said Alice, ","EAT ME /newquote Well, I'll eat it, /newquote and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!",Alice,,NO MONOLOGUE,0,1,Explicit,said Alice
25,25,26,"She ate a little bit, and said anxiously to herself,  /newquote , holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",Which way? Which way?,Alice,Alice,NO MONOLOGUE,0,1,Anaphoric,She ate a little bit and said anxiously to herself
26,26,27,"So she set to work, and very soon finished off the cake.",NO QUOTE,,,,0,1,1.0,1.0
27,27,28,*      *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
28,28,29,    *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
29,29,30,*      *      *      *      *      *      *,NO QUOTE,,,,0,1,1.0,1.0
30,30,31,The Pool of Tears,NO QUOTE,,,,0,2,1.0,1.0
31,31,32," cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English);  /newquote  (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).  /newquote  thought Alice, ","Curiouser and curiouser! /newquote now I'm opening out like the largest telescope that ever was! Good-bye, feet! /newquote Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I'm sure _I_ shan't be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;--but I must be kind to them, /newquote or perhaps they won't walk the way I want to go! Let me see: I'll give them a new pair of boots every Christmas.",Alice,,NO MONOLOGUE,0,2,Explicit,thought Alice
32,32,33,And she went on planning to herself how she would manage it.  /newquote  she thought; ,"They must go by the carrier, /newquote and how funny it'll seem, sending presents to one's own feet! And how odd the directions will look!",Alice,,NO MONOLOGUE,0,2,Anaphoric,she thought
33,33,34,"     _Alice's Right Foot, Esq., Hearthrug, near the Fender,_ (_with      Alice's love_).",NO QUOTE,,,,0,2,1.0,1.0
34,34,35,"Oh dear, what nonsense I'm talking!",NO QUOTE,,,,0,2,1.0,1.0
35,35,36,"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",NO QUOTE,,,,0,2,1.0,1.0
36,36,37,"Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",NO QUOTE,,,,0,2,1.0,1.0
37,37,38," said Alice,  /newquote  (she might well say this),  /newquote  But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.","You ought to be ashamed of yourself, /newquote a great girl like you, /newquote to go on crying in this way! Stop this moment, I tell you!",Alice,,NO MONOLOGUE,0,2,Explicit,said Alice
38,38,39,"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming. It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came,  /newquote  Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice,  /newquote  The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.","Oh! the Duchess, the Duchess! Oh! won't she be savage if I've kept her waiting! /newquote If you please, sir--",The White Rabbit,The White Rabbit,NO MONOLOGUE,0,2,Anaphoric,he came trotting along in a great hurry muttering to himself
39,39,40,"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking:  /newquote  And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.","Dear, dear! How queer everything is to-day! And yesterday things went on just as usual. I wonder if I've been changed in the night? Let me think: was I the same when I got up this morning? I almost think I can remember feeling a little different. But if I'm not the same, the next question is, Who in the world am I? Ah, _that's_ the great puzzle!",Alice,,NO MONOLOGUE,0,2,Anaphoric,she went on talking
40,40,41," she said,  /newquote  and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:--","I'm sure I'm not Ada, /newquote for her hair goes in such long ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't be Mabel, for I know all sorts of things, and she, oh! she knows such a very little! Besides, _she's_ she, and _I'm_ I, and--oh dear, how puzzling it all is! I'll try if I know all the things I used to know. Let me see: four times five is twelve, and four times six is thirteen, and four times seven is--oh dear! I shall never get to twenty at that rate! However, the Multiplication Table doesn't signify: let's try Geography. London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, _that's_ all wrong, I'm certain! I must have been changed for Mabel! I'll try and say '_How doth the little_--'",Alice,,NO MONOLOGUE,0,2,Anaphoric,she said
41,41,42,NO APPEND,"How doth the little crocodile     Improve his shining tail, And pour the waters of the Nile     On every golden scale!",Alice,,NO MONOLOGUE,0,2,Anaphoric,she began
42,42,43,NO APPEND,"How cheerfully he seems to grin,     How neatly spread his claws, And welcome little fishes in     With gently smiling jaws!",Alice,,NO MONOLOGUE,0,2,Anaphoric,she began
43,43,44," said poor Alice, and her eyes filled with tears again as she went on,  /newquote  cried Alice, with a sudden burst of tears, ","I'm sure those are not the right words, /newquote I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh! ever so many lessons to learn! No, I've made up my mind about it; if I'm Mabel, I'll stay down here! It'll be no use their putting their heads down and saying 'Come up again, dear!' I shall only look up and say 'Who am I then? Tell me that first, and then, if I like being that person, I'll come up: if not, I'll stay down here till I'm somebody else'--but, oh dear! /newquote I do wish they _would_ put their heads down! I am so _very_ tired of being all alone here!",Alice,,NO MONOLOGUE,0,2,Explicit,said poor Alice
44,44,45,"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking.  /newquote  she thought.  /newquote  She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",How _can_ I have done that? /newquote I must be growing small again.,Alice,,NO MONOLOGUE,0,2,Anaphoric,she thought
45,45,46," said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence;  /newquote  and she ran with all speed back to the little door: but, alas! the little door was shut again, and the little golden key was lying on the glass table as before,  /newquote  thought the poor child, ","That _was_ a narrow escape! /newquote and now for the garden! /newquote and things are worse than ever, /newquote for I never was so small as this before, never! And I declare it's too bad, that it is!",Alice,,NO MONOLOGUE,0,2,Anaphoric,thought the poor child
46,46,47,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. Her first idea was that she had somehow fallen into the sea,  /newquote  she said to herself. (Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.) However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","and in that case I can go back by railway,",Alice,Alice,NO MONOLOGUE,0,2,Anaphoric,she said to herself
47,47,48," said Alice, as she swam about, trying to find her way out. ","I wish I hadn't cried so much! /newquote I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! However, everything is queer to-day.",Alice,,NO MONOLOGUE,0,2,Explicit,said Alice
48,48,49,"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.",NO QUOTE,,,,0,2,1.0,1.0
49,49,50," thought Alice,  /newquote  So she began:  /newquote  (Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar,  /newquote ) The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.","Would it be of any use, now, /newquote to speak to this mouse? Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying. /newquote O Mouse, do you know the way out of this pool? I am very tired of swimming about here, O Mouse! /newquote A mouse--of a mouse--to a mouse--a mouse--O mouse!",Alice,,NO MONOLOGUE,0,2,Explicit,thought Alice
50,50,51," thought Alice;  /newquote  (For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.) So she began again:  /newquote  which was the first sentence in her French lesson-book. The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.  /newquote  cried Alice hastily, afraid that she had hurt the poor animal's feelings. ","Perhaps it doesn't understand English, /newquote I daresay it's a French mouse, come over with William the Conqueror. /newquote O? est ma chatte? /newquote Oh, I beg your pardon! /newquote I quite forgot you didn't like cats.",Alice,,NO MONOLOGUE,0,2,Explicit,thought Alice
51,51,52," cried the Mouse, in a shrill, passionate voice. ",Not like cats! /newquote Would _you_ like cats if you were me?,The Mouse,Alice,NO MONOLOGUE,0,2,Explicit,cried the Mouse
52,52,53," said Alice in a soothing tone:  /newquote  Alice went on, half to herself, as she swam lazily about in the pool,  /newquote  cried Alice again, for this time the Mouse was bristling all over, and she felt certain it must be really offended. ","Well, perhaps not, /newquote don't be angry about it. And yet I wish I could show you our cat Dinah: I think you'd take a fancy to cats if you could only see her. She is such a dear quiet thing, /newquote and she sits purring so nicely by the fire, licking her paws and washing her face--and she is such a nice soft thing to nurse--and she's such a capital one for catching mice--oh, I beg your pardon! /newquote We won't talk about her any more if you'd rather not.",Alice,The Mouse,NO MONOLOGUE,0,2,Explicit,said Alice
53,53,54," cried the Mouse, who was trembling down to the end of his tail. ","We indeed! /newquote As if _I_ would talk on such a subject! Our family always _hated_ cats: nasty, low, vulgar things! Don't let me hear the name again!",The Mouse,Alice,NO MONOLOGUE,0,2,Explicit,cried the Mouse
54,54,55," said Alice, in a great hurry to change the subject of conversation.  /newquote  The Mouse did not answer, so Alice went on eagerly:  /newquote  cried Alice in a sorrowful tone,  /newquote  For the Mouse was swimming away from her as hard as it could go, and making quite a commotion in the pool as it went.","I won't indeed! /newquote Are you--are you fond--of--of dogs? /newquote There is such a nice little dog near our house I should like to show you! A little bright-eyed terrier, you know, with oh, such long curly brown hair! And it'll fetch things when you throw them, and it'll sit up and beg for its dinner, and all sorts of things--I can't remember half of them--and it belongs to a farmer, you know, and he says it's so useful, it's worth a hundred pounds! He says it kills all the rats and--oh dear! /newquote I'm afraid I've offended it again!",Alice,The Mouse,NO MONOLOGUE,0,2,Explicit,Alice
55,55,56,"So she called softly after it,  /newquote  When the Mouse heard this, it turned round and swam slowly back to her: its face was quite pale (with passion, Alice thought), and it said in a low trembling voice, ","Mouse dear! Do come back again, and we won't talk about cats or dogs either, if you don't like them! /newquote Let us get to the shore, and then I'll tell you my history, and you'll understand why it is I hate cats and dogs.",The Mouse,Alice,NO MONOLOGUE,0,2,Anaphoric,it said
56,56,57,"It was high time to go, for the pool was getting quite crowded with the birds and animals that had fallen into it: there were a Duck and a Dodo, a Lory and an Eaglet, and several other curious creatures. Alice led the way, and the whole party swam to the shore.",NO QUOTE,,,,0,2,1.0,1.0
57,57,58,A Caucus-Race and a Long Tale,NO QUOTE,,,,0,3,1.0,1.0
58,58,59,"They were indeed a queer-looking party that assembled on the bank--the birds with draggled feathers, the animals with their fur clinging close to them, and all dripping wet, cross, and uncomfortable.",NO QUOTE,,,,0,3,1.0,1.0
59,59,60,"The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life. Indeed, she had quite a long argument with the Lory, who at last turned sulky, and would only say,  /newquote  and this Alice would not allow without knowing how old it was, and, as the Lory positively refused to tell its age, there was no more to be said.","I am older than you, and must know better;",The Lory,,NO MONOLOGUE,0,3,Explicit,the Lory who at last turned sulky and would only say
60,60,61,"At last the Mouse, who seemed to be a person of authority among them, called out,  /newquote  They all sat down at once, in a large ring, with the Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.","Sit down, all of you, and listen to me! _I'll_ soon make you dry enough!",The Mouse,,NO MONOLOGUE,0,3,Explicit,the Mouse who seemed to be a person of authority among them called out
61,61,62," said the Mouse with an important air, ","Ahem! /newquote are you all ready? This is the driest thing I know. Silence all round, if you please! 'William the Conqueror, whose cause was favoured by the pope, was soon submitted to by the English, who wanted leaders, and had been of late much accustomed to usurpation and conquest. Edwin and Morcar, the earls of Mercia and Northumbria--'",The Mouse,,NO MONOLOGUE,0,3,Explicit,said the Mouse
62,62,63," said the Lory, with a shiver.",Ugh!,The Lory,,NO MONOLOGUE,0,3,Explicit,said the Lory
63,63,64," said the Mouse, frowning, but very politely: ",I beg your pardon! /newquote Did you speak?,The Mouse,,NO MONOLOGUE,0,3,Explicit,said the Mouse
64,64,65, said the Lory hastily.,Not I!,The Lory,,NO MONOLOGUE,0,3,Explicit,said the Lory
65,65,66, said the Mouse. ,"I thought you did, /newquote --I proceed. 'Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it advisable--'",The Mouse,,NO MONOLOGUE,0,3,Explicit,said the Mouse
66,66,67, said the Duck.,Found _what_?,The Duck,,NO MONOLOGUE,0,3,Explicit,said the
67,67,68, the Mouse replied rather crossly: ,"Found _it_, /newquote of course you know what 'it' means.",The Mouse,,NO MONOLOGUE,0,3,Explicit,the Mouse replied
68,68,69, said the Duck: ,"I know what 'it' means well enough, when _I_ find a thing, /newquote it's generally a frog or a worm. The question is, what did the archbishop find?",The Duck,,NO MONOLOGUE,0,3,Explicit,said the Duck
69,69,70,"The Mouse did not notice this question, but hurriedly went on,  /newquote  it continued, turning to Alice as it spoke.","'--found it advisable to go with Edgar Atheling to meet William and offer him the crown. William's conduct at first was moderate. But the insolence of his Normans--' How are you getting on now, my dear?",The Mouse,,NO MONOLOGUE,0,3,Explicit,The Mouse did not notice this question but hurriedly went on
70,70,71, said Alice in a melancholy tone: ,"As wet as ever, /newquote it doesn't seem to dry me at all.",Alice,,NO MONOLOGUE,0,3,Explicit,said Alice
71,71,72," said the Dodo solemnly, rising to its feet, ","In that case, /newquote I move that the meeting adjourn, for the immediate adoption of more energetic remedies--",The Dodo,,NO MONOLOGUE,0,3,Explicit,said the Dodo
72,72,73, said the Eaglet.  /newquote  And the Eaglet bent down its head to hide a smile: some of the other birds tittered audibly.,"Speak English! /newquote I don't know the meaning of half those long words, and, what's more, I don't believe you do either!",The Eaglet,,NO MONOLOGUE,0,3,Explicit,said the Eaglet
73,73,74," said the Dodo in an offended tone, ","What I was going to say, /newquote was, that the best thing to get us dry would be a Caucus-race.",The Dodo,,NO MONOLOGUE,0,3,Explicit,said the Dodo
74,74,75," said Alice; not that she wanted much to know, but the Dodo had paused as if it thought that _somebody_ ought to speak, and no one else seemed inclined to say anything.",What _is_ a Caucus-race?,Alice,,NO MONOLOGUE,0,3,Explicit,said Alice
75,75,76," said the Dodo,  /newquote  (And, as you might like to try the thing yourself, some winter day, I will tell you how the Dodo managed it.)","Why, /newquote the best way to explain it is to do it.",The Dodo,,NO MONOLOGUE,0,3,Explicit,said the Dodo
76,76,77,"First it marked out a race-course, in a sort of circle, ( /newquote  it said,) and then all the party were placed along the course, here and there. There was no  /newquote  but they began running when they liked, and left off when they liked, so that it was not easy to know when the race was over. However, when they had been running half an hour or so, and were quite dry again, the Dodo suddenly called out  /newquote  and they all crowded round it, panting, and asking, ","the exact shape doesn't matter, /newquote One, two, three, and away, /newquote The race is over! /newquote But who has won?",The Dodo,,NO MONOLOGUE,0,3,Anaphoric,it said
77,77,78,"This question the Dodo could not answer without a great deal of thought, and it sat for a long time with one finger pressed upon its forehead (the position in which you usually see Shakespeare, in the pictures of him), while the rest waited in silence. At last the Dodo said, ","_Everybody_ has won, and all must have prizes.",The Dodo,,NO MONOLOGUE,0,3,Explicit,the Dodo said
78,78,79, quite a chorus of voices asked.,But who is to give the prizes?,Alice,,NO MONOLOGUE,0,3,Explicit,thought Alice
79,79,80," said the Dodo, pointing to Alice with one finger; and the whole party at once crowded round her, calling out in a confused way, ","Why, _she_, of course, /newquote Prizes! Prizes!",The Dodo,,NO MONOLOGUE,0,3,Explicit,said the Dodo
80,80,81,"Alice had no idea what to do, and in despair she put her hand in her pocket, and pulled out a box of comfits, (luckily the salt water had not got into it), and handed them round as prizes. There was exactly one a-piece, all round.",NO QUOTE,,,,0,3,1.0,1.0
81,81,82, said the Mouse.,"But she must have a prize herself, you know,",The Mouse,,NO MONOLOGUE,0,3,Explicit,said the Mouse
82,82,83," the Dodo replied very gravely.  /newquote  he went on, turning to Alice.","Of course, /newquote What else have you got in your pocket?",The Dodo,,NO MONOLOGUE,0,3,Explicit,
83,83,84, said Alice sadly.,"Only a thimble,",Alice,,NO MONOLOGUE,0,3,Explicit,
84,84,85, said the Dodo.,"Hand it over here,",The Dodo,,NO MONOLOGUE,0,3,Explicit,said the Dodo
85,85,86,"Then they all crowded round her once more, while the Dodo solemnly presented the thimble, saying  /newquote  and, when it had finished this short speech, they all cheered.",We beg your acceptance of this elegant thimble;,The Dodo,,NO MONOLOGUE,0,3,Explicit,the Dodo solemnly presented the thimble saying
86,86,87,"Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could.",NO QUOTE,,,,0,3,1.0,1.0
87,87,88,"The next thing was to eat the comfits: this caused some noise and confusion, as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted on the back. However, it was over at last, and they sat down again in a ring, and begged the Mouse to tell them something more.",NO QUOTE,,,,0,3,1.0,1.0
88,88,89," said Alice,  /newquote  she added in a whisper, half afraid that it would be offended again.","You promised to tell me your history, you know, /newquote and why it is you hate--C and D,",Alice,,NO MONOLOGUE,0,3,Explicit,said Alice
89,89,90," said the Mouse, turning to Alice, and sighing.",Mine is a long and a sad tale!,The Mouse,,NO MONOLOGUE,0,3,Explicit,said the Mouse
90,90,91," said Alice, looking down with wonder at the Mouse's tail;  /newquote  And she kept on puzzling about it while the Mouse was speaking, so that her idea of the tale was something like this:--","It _is_ a long tail, certainly, /newquote but why do you call it sad?",Alice,,NO MONOLOGUE,0,3,Explicit,said Alice
91,91,92,         ,"Fury said to a mouse, That he met in the house, 'Let us both          go to law: _I_ will prosecute _you_.--Come, I'll take no          denial; We must have a trial: For really this morning I've          nothing to do.' Said the mouse to the cur, 'Such a trial, dear          sir, With no jury or judge, would be wasting our breath.'          'I'll be judge, I'll be jury,' Said cunning old Fury: 'I'll          try the whole cause, and condemn you to death.'",Alice,,NO MONOLOGUE,0,3,Explicit,thought poor Alice
